date,EUR_PLN,USD_PLN,CZK_PLN,PLN_PLN
2020-02-08,4.4046,3.9862,0.1729,1.0
2020-02-09,4.3265,4.0871,0.176,1.0
2020-02-10,4.4833,3.8409,0.1786,1.0
2020-02-11,4.3079,4.0204,0.1818,1.0
2020-02-12,4.3408,3.882,0.1734,1.0
2020-02-13,4.3797,3.7639,0.1733,1.0
2020-02-14,4.335,4.0068,0.1693,1.0
2020-02-15,4.544,3.856,0.1717,1.0
2020-02-16,4.4851,3.8023,0.1739,1.0
2020-02-17,4.5246,3.7571,0.1737,1.0
2020-02-18,4.4408,4.0438,0.1681,1.0
2020-02-19,4.3144,4.0126,0.1742,1.0
2020-02-20,4.44,3.9916,0.1703,1.0
2020-02-21,4.4386,3.9852,0.1701,1.0
2020-02-22,4.5693,4.0069,0.1682,1.0
2020-02-23,4.4725,3.833,0.1761,1.0
2020-02-24,4.5127,3.8515,0.1769,1.0
2020-02-25,4.453,4.0486,0.1806,1.0
2020-02-26,4.4004,3.8596,0.1694,1.0
2020-02-27,4.3547,3.9407,0.1744,1.0
2020-02-28,4.4421,4.0493,0.1731,1.0
2020-02-29,4.5363,3.9182,0.1839,1.0
2020-03-01,4.4701,3.8471,0.1687,1.0
2020-03-02,4.4586,3.9232,0.1759,1.0
2020-03-03,4.4579,3.9413,0.1696,1.0
2020-03-04,4.2988,3.8964,0.1764,1.0
2020-03-05,4.4371,3.8005,0.1737,1.0
2020-03-06,4.4508,3.8439,0.1736,1.0
2020-03-07,4.4247,3.8128,0.1744,1.0
2020-03-08,4.4649,4.08,0.1772,1.0
2020-03-09,4.3098,3.8375,0.1751,1.0
2020-03-10,4.4611,4.0118,0.1884,1.0
2020-03-11,4.4657,4.0863,0.1768,1.0
2020-03-12,4.4721,3.9122,0.176,1.0
2020-03-13,4.3582,3.9216,0.1711,1.0
2020-03-14,4.4265,4.2278,0.1655,1.0
2020-03-15,4.4749,3.7565,0.1711,1.0
2020-03-16,4.5071,3.9577,0.1687,1.0
2020-03-17,4.3628,4.0316,0.1701,1.0
2020-03-18,4.4373,3.9555,0.1704,1.0
2020-03-19,4.5915,4.0261,0.1649,1.0
2020-03-20,4.4349,3.8706,0.1764,1.0
2020-03-21,4.3566,3.9362,0.175,1.0
2020-03-22,4.4893,3.806,0.1717,1.0
2020-03-23,4.382,3.8716,0.1801,1.0
2020-03-24,4.4524,3.7987,0.1767,1.0
2020-03-25,4.5898,4.0739,0.1669,1.0
2020-03-26,4.3813,4.102,0.1702,1.0
2020-03-27,4.4555,4.043,0.1693,1.0
2020-03-28,4.4152,3.561,0.1689,1.0
2020-03-29,4.3998,3.8003,0.1795,1.0
2020-03-30,4.3056,3.8972,0.1735,1.0
2020-03-31,4.5353,3.7777,0.1777,1.0
2020-04-01,4.4208,3.8322,0.1748,1.0
2020-04-02,4.4359,3.878,0.1733,1.0
2020-04-03,4.3892,3.9636,0.1756,1.0
2020-04-04,4.5469,3.8015,0.1815,1.0
2020-04-05,4.2638,3.9318,0.1754,1.0
2020-04-06,4.4425,3.8753,0.1722,1.0
2020-04-07,4.3806,3.8793,0.1764,1.0
2020-04-08,4.4486,3.8669,0.1766,1.0
2020-04-09,4.4446,4.0475,0.1755,1.0
2020-04-10,4.3537,3.8828,0.176,1.0
2020-04-11,4.4688,3.9475,0.1735,1.0
2020-04-12,4.5222,3.879,0.1752,1.0
2020-04-13,4.4038,3.9239,0.1774,1.0
2020-04-14,4.486,4.0476,0.1782,1.0
2020-04-15,4.4217,4.0318,0.1718,1.0
2020-04-16,4.4459,3.9344,0.1734,1.0
2020-04-17,4.4676,3.8518,0.1814,1.0
2020-04-18,4.3395,3.8043,0.1776,1.0
2020-04-19,4.4833,4.0249,0.1755,1.0
2020-04-20,4.419,3.8423,0.1733,1.0
2020-04-21,4.3658,4.067,0.1724,1.0
2020-04-22,4.354,3.9114,0.1747,1.0
2020-04-23,4.3749,3.8513,0.174,1.0
2020-04-24,4.4396,3.8892,0.1711,1.0
2020-04-25,4.4386,3.7762,0.1674,1.0
2020-04-26,4.3625,3.9244,0.1742,1.0
2020-04-27,4.538,4.0529,0.1724,1.0
2020-04-28,4.4185,3.8297,0.1729,1.0
2020-04-29,4.3969,3.9887,0.1697,1.0
2020-04-30,4.4615,4.1339,0.1726,1.0
2020-05-01,4.4521,4.0328,0.1714,1.0
2020-05-02,4.4379,3.9515,0.1734,1.0
2020-05-03,4.3582,3.9529,0.175,1.0
2020-05-04,4.5361,4.0651,0.1816,1.0
2020-05-05,4.3586,4.0547,0.1737,1.0
2020-05-06,4.5952,3.853,0.1696,1.0
2020-05-07,4.372,3.6951,0.1709,1.0
2020-05-08,4.3593,3.968,0.1744,1.0
2020-05-09,4.5701,4.0641,0.1707,1.0
2020-05-10,4.3481,4.009,0.1677,1.0
2020-05-11,4.5665,4.0915,0.1711,1.0
2020-05-12,4.2829,4.1125,0.1725,1.0
2020-05-13,4.519,3.7587,0.1706,1.0
2020-05-14,4.4204,3.9556,0.1712,1.0
2020-05-15,4.4698,3.8219,0.1724,1.0
2020-05-16,4.4296,4.0117,0.1758,1.0
2020-05-17,4.33,3.7659,0.1781,1.0
2020-05-18,4.4466,3.8602,0.1792,1.0
2020-05-19,4.4293,4.0915,0.1733,1.0
2020-05-20,4.5849,4.1606,0.172,1.0
2020-05-21,4.4977,4.0274,0.1785,1.0
2020-05-22,4.3428,4.0323,0.1772,1.0
2020-05-23,4.2793,3.808,0.1648,1.0
2020-05-24,4.3984,4.0361,0.179,1.0
2020-05-25,4.4259,4.1454,0.1675,1.0
2020-05-26,4.2837,3.9433,0.1745,1.0
2020-05-27,4.4174,3.7019,0.1726,1.0
2020-05-28,4.3156,4.0304,0.1745,1.0
2020-05-29,4.3448,3.8883,0.1688,1.0
2020-05-30,4.415,4.0646,0.1691,1.0
2020-05-31,4.4603,3.8864,0.1698,1.0
2020-06-01,4.4114,3.8258,0.1708,1.0
2020-06-02,4.3242,4.1858,0.1731,1.0
2020-06-03,4.364,3.9757,0.1726,1.0
2020-06-04,4.4023,4.0237,0.176,1.0
2020-06-05,4.3776,3.8809,0.1719,1.0
2020-06-06,4.2358,3.7682,0.1785,1.0
2020-06-07,4.5516,3.9201,0.1753,1.0
2020-06-08,4.4449,4.3195,0.1775,1.0
2020-06-09,4.4098,3.8353,0.1666,1.0
2020-06-10,4.4363,3.8592,0.1673,1.0
2020-06-11,4.3683,3.8202,0.1797,1.0
2020-06-12,4.4905,3.949,0.1789,1.0
2020-06-13,4.4262,3.8466,0.1791,1.0
2020-06-14,4.4631,3.8255,0.1722,1.0
2020-06-15,4.35,3.7841,0.1767,1.0
2020-06-16,4.5728,3.7822,0.1753,1.0
2020-06-17,4.3679,3.8915,0.1706,1.0
2020-06-18,4.3509,3.9558,0.1697,1.0
2020-06-19,4.4416,3.944,0.172,1.0
2020-06-20,4.3474,3.8808,0.176,1.0
2020-06-21,4.4601,3.8327,0.1734,1.0
2020-06-22,4.4801,3.7497,0.1752,1.0
2020-06-23,4.367,4.0185,0.1699,1.0
2020-06-24,4.2756,3.7547,0.1732,1.0
2020-06-25,4.4408,3.8415,0.1756,1.0
2020-06-26,4.2871,3.9421,0.1682,1.0
2020-06-27,4.3679,3.9557,0.1696,1.0
2020-06-28,4.3892,4.0708,0.1707,1.0
2020-06-29,4.4869,3.8144,0.1751,1.0
2020-06-30,4.5353,3.6534,0.1698,1.0
2020-07-01,4.4662,3.9256,0.1745,1.0
2020-07-02,4.3717,3.9604,0.1724,1.0
2020-07-03,4.5134,3.9805,0.1744,1.0
2020-07-04,4.387,3.8915,0.1713,1.0
2020-07-05,4.4516,3.8995,0.1742,1.0
2020-07-06,4.586,4.0545,0.1717,1.0
2020-07-07,4.5161,3.901,0.1648,1.0
2020-07-08,4.3394,3.7255,0.1716,1.0
2020-07-09,4.4215,4.1512,0.1743,1.0
2020-07-10,4.4025,4.0495,0.1642,1.0
2020-07-11,4.4388,4.0425,0.1671,1.0
2020-07-12,4.5115,3.9906,0.1713,1.0
2020-07-13,4.4706,4.2225,0.1737,1.0
2020-07-14,4.4399,3.8949,0.1696,1.0
2020-07-15,4.4864,3.8473,0.1733,1.0
2020-07-16,4.3818,4.0075,0.1743,1.0
2020-07-17,4.503,3.8888,0.1719,1.0
2020-07-18,4.3417,3.8967,0.1745,1.0
2020-07-19,4.4806,3.8393,0.1765,1.0
2020-07-20,4.5285,3.9996,0.1805,1.0
2020-07-21,4.3581,3.8006,0.1659,1.0
2020-07-22,4.5397,4.0285,0.1728,1.0
2020-07-23,4.4424,3.8149,0.1828,1.0
2020-07-24,4.4303,3.9631,0.1759,1.0
2020-07-25,4.4585,3.9769,0.1698,1.0
2020-07-26,4.4577,4.1758,0.1784,1.0
2020-07-27,4.5475,3.8887,0.169,1.0
2020-07-28,4.4099,3.9567,0.1774,1.0
2020-07-29,4.2846,4.1335,0.1724,1.0
2020-07-30,4.3858,3.8285,0.1664,1.0
2020-07-31,4.4859,3.9588,0.1678,1.0
2020-08-01,4.3164,3.9097,0.1797,1.0
2020-08-02,4.3992,3.7696,0.172,1.0
2020-08-03,4.3982,3.6264,0.1728,1.0
2020-08-04,4.4015,4.0335,0.1804,1.0
2020-08-05,4.5101,3.9177,0.1686,1.0
2020-08-06,4.6259,3.9571,0.1731,1.0
2020-08-07,4.4181,3.9738,0.1724,1.0
2020-08-08,4.3741,3.8844,0.1729,1.0
2020-08-09,4.3765,3.8645,0.1734,1.0
2020-08-10,4.3996,4.1305,0.1624,1.0
2020-08-11,4.5073,4.0995,0.1647,1.0
2020-08-12,4.3926,3.9054,0.1674,1.0
2020-08-13,4.3578,3.8167,0.18,1.0
2020-08-14,4.4949,4.1026,0.1759,1.0
2020-08-15,4.3297,3.8871,0.175,1.0
2020-08-16,4.3222,4.0356,0.172,1.0
2020-08-17,4.39,4.0353,0.1748,1.0
2020-08-18,4.3911,4.0891,0.1687,1.0
2020-08-19,4.4693,4.0212,0.1718,1.0
2020-08-20,4.4461,3.7999,0.1767,1.0
2020-08-21,4.4052,3.8873,0.1772,1.0
2020-08-22,4.3637,3.781,0.1668,1.0
2020-08-23,4.4685,3.7963,0.18,1.0
2020-08-24,4.2534,4.1536,0.1738,1.0
2020-08-25,4.4123,3.8846,0.1746,1.0
2020-08-26,4.417,4.0824,0.1735,1.0
2020-08-27,4.432,3.9064,0.1728,1.0
2020-08-28,4.4446,3.7448,0.1676,1.0
2020-08-29,4.4795,3.9705,0.1723,1.0
2020-08-30,4.4215,3.9917,0.1708,1.0
2020-08-31,4.3577,3.9735,0.1691,1.0
2020-09-01,4.4527,3.7457,0.1771,1.0
2020-09-02,4.4578,3.9807,0.1769,1.0
2020-09-03,4.5532,4.0717,0.1656,1.0
2020-09-04,4.3176,3.875,0.1731,1.0
2020-09-05,4.4614,3.8629,0.1737,1.0
2020-09-06,4.3596,3.8766,0.1674,1.0
2020-09-07,4.3461,3.7878,0.1691,1.0
2020-09-08,4.5043,3.8361,0.1835,1.0
2020-09-09,4.4595,3.9722,0.1696,1.0
2020-09-10,4.476,3.8809,0.1735,1.0
2020-09-11,4.6248,3.9385,0.1776,1.0
2020-09-12,4.3637,3.9458,0.1801,1.0
2020-09-13,4.3698,4.1675,0.1758,1.0
2020-09-14,4.375,4.0259,0.1769,1.0
2020-09-15,4.4697,3.7616,0.1701,1.0
2020-09-16,4.4002,3.9411,0.1755,1.0
2020-09-17,4.4342,3.7898,0.1745,1.0
2020-09-18,4.4688,4.0172,0.1773,1.0
2020-09-19,4.4867,4.0051,0.1727,1.0
2020-09-20,4.2871,4.0016,0.1738,1.0
2020-09-21,4.4417,3.7968,0.1687,1.0
2020-09-22,4.5043,3.9453,0.1757,1.0
2020-09-23,4.4223,3.9536,0.1768,1.0
2020-09-24,4.3787,3.9615,0.1712,1.0
2020-09-25,4.3852,3.9129,0.1739,1.0
2020-09-26,4.3817,4.1007,0.1694,1.0
2020-09-27,4.4051,3.8972,0.1788,1.0
2020-09-28,4.4357,4.0738,0.1671,1.0
2020-09-29,4.4414,4.0568,0.1733,1.0
2020-09-30,4.5052,3.8879,0.1786,1.0
2020-10-01,4.6039,3.9065,0.1712,1.0
2020-10-02,4.5363,4.1395,0.1709,1.0
2020-10-03,4.3864,3.9162,0.1676,1.0
2020-10-04,4.3465,3.8295,0.1699,1.0
2020-10-05,4.4172,3.9781,0.1792,1.0
2020-10-06,4.3401,4.0681,0.1721,1.0
2020-10-07,4.416,4.031,0.1685,1.0
2020-10-08,4.4506,3.97,0.175,1.0
2020-10-09,4.4431,4.2446,0.1704,1.0
2020-10-10,4.3775,3.8752,0.1708,1.0
2020-10-11,4.369,4.0927,0.1787,1.0
2020-10-12,4.3743,3.8501,0.1749,1.0
2020-10-13,4.3758,4.026,0.1738,1.0
2020-10-14,4.2987,4.1357,0.1802,1.0
2020-10-15,4.371,3.9035,0.1741,1.0
2020-10-16,4.4468,4.029,0.181,1.0
2020-10-17,4.4058,3.8542,0.1675,1.0
2020-10-18,4.3615,3.946,0.1802,1.0
2020-10-19,4.3786,3.9769,0.1729,1.0
2020-10-20,4.5151,4.2532,0.1709,1.0
2020-10-21,4.3808,4.0753,0.1757,1.0
2020-10-22,4.5677,4.0201,0.1716,1.0
2020-10-23,4.4673,4.083,0.1763,1.0
2020-10-24,4.4606,4.078,0.1777,1.0
2020-10-25,4.5306,4.0278,0.1723,1.0
2020-10-26,4.4317,4.0948,0.1697,1.0
2020-10-27,4.4495,3.9028,0.1731,1.0
2020-10-28,4.5223,3.9729,0.1732,1.0
2020-10-29,4.3112,4.0396,0.1756,1.0
2020-10-30,4.5931,3.9131,0.1739,1.0
2020-10-31,4.44,4.1393,0.1726,1.0
2020-11-01,4.4423,4.0229,0.1737,1.0
2020-11-02,4.3843,3.9733,0.1773,1.0
2020-11-03,4.3379,3.966,0.1702,1.0
2020-11-04,4.5156,3.7672,0.1708,1.0
2020-11-05,4.4502,4.1379,0.1727,1.0
2020-11-06,4.3756,4.1757,0.1672,1.0
2020-11-07,4.2441,4.0028,0.171,1.0
2020-11-08,4.3383,4.035,0.174,1.0
2020-11-09,4.3749,3.7964,0.1765,1.0
2020-11-10,4.472,3.9381,0.1804,1.0
2020-11-11,4.3344,3.7669,0.1702,1.0
2020-11-12,4.4164,3.9792,0.172,1.0
2020-11-13,4.4482,3.7998,0.1788,1.0
2020-11-14,4.4134,4.0841,0.1744,1.0
2020-11-15,4.4565,4.0184,0.1748,1.0
2020-11-16,4.4714,4.1095,0.1738,1.0
2020-11-17,4.4767,3.9392,0.1788,1.0
2020-11-18,4.3659,4.1661,0.1728,1.0
2020-11-19,4.3055,3.9654,0.1703,1.0
2020-11-20,4.4873,3.8717,0.1712,1.0
2020-11-21,4.2688,3.8957,0.1633,1.0
2020-11-22,4.2933,4.0412,0.1761,1.0
2020-11-23,4.454,3.834,0.1728,1.0
2020-11-24,4.4197,3.811,0.179,1.0
2020-11-25,4.4902,3.9235,0.1731,1.0
2020-11-26,4.4367,3.705,0.172,1.0
2020-11-27,4.3654,3.8298,0.1719,1.0
2020-11-28,4.5638,4.0269,0.1707,1.0
2020-11-29,4.4658,4.1179,0.1767,1.0
2020-11-30,4.4248,3.8724,0.1758,1.0
2020-12-01,4.4515,4.0574,0.1755,1.0
2020-12-02,4.504,3.8858,0.1783,1.0
2020-12-03,4.4358,4.199,0.1702,1.0
2020-12-04,4.5589,3.9737,0.1704,1.0
2020-12-05,4.3813,3.9116,0.1747,1.0
2020-12-06,4.4618,3.8812,0.1729,1.0
2020-12-07,4.5914,4.1573,0.1747,1.0
2020-12-08,4.423,3.9644,0.1755,1.0
2020-12-09,4.3382,3.9191,0.1663,1.0
2020-12-10,4.4519,4.0277,0.1711,1.0
2020-12-11,4.5459,3.8029,0.1671,1.0
2020-12-12,4.438,4.0757,0.1797,1.0
2020-12-13,4.3833,4.0794,0.1728,1.0
2020-12-14,4.4062,4.056,0.1756,1.0
2020-12-15,4.2939,4.1272,0.1785,1.0
2020-12-16,4.37,3.9975,0.175,1.0
2020-12-17,4.4409,3.884,0.1703,1.0
2020-12-18,4.418,4.0907,0.1752,1.0
2020-12-19,4.3904,4.0426,0.1616,1.0
2020-12-20,4.5119,3.7412,0.1716,1.0
2020-12-21,4.3304,3.7946,0.1776,1.0
2020-12-22,4.3826,3.9916,0.1728,1.0
2020-12-23,4.4582,3.9592,0.1679,1.0
2020-12-24,4.4997,3.8907,0.1668,1.0
2020-12-25,4.3858,4.1301,0.1764,1.0
2020-12-26,4.3921,3.9081,0.1717,1.0
2020-12-27,4.5861,3.9958,0.1747,1.0
2020-12-28,4.5024,3.9787,0.172,1.0
2020-12-29,4.4043,3.9414,0.1729,1.0
2020-12-30,4.4782,3.9562,0.1759,1.0
2020-12-31,4.4135,3.9594,0.165,1.0
2021-01-01,4.605,3.8846,0.182,1.0
2021-01-02,4.3762,4.0588,0.1786,1.0
2021-01-03,4.6165,3.746,0.1808,1.0
2021-01-04,4.4868,3.7876,0.1847,1.0
2021-01-05,4.5386,3.8717,0.1816,1.0
2021-01-06,4.5797,3.865,0.1801,1.0
2021-01-07,4.6942,3.8442,0.1796,1.0
2021-01-08,4.613,3.9606,0.1826,1.0
2021-01-09,4.5883,3.7357,0.1839,1.0
2021-01-10,4.4812,3.8803,0.1767,1.0
2021-01-11,4.5462,3.8829,0.18,1.0
2021-01-12,4.5753,4.0114,0.1804,1.0
2021-01-13,4.5354,3.9464,0.1826,1.0
2021-01-14,4.4763,3.9097,0.1811,1.0
2021-01-15,4.5321,3.9876,0.1785,1.0
2021-01-16,4.5575,3.8327,0.179,1.0
2021-01-17,4.4842,3.706,0.1838,1.0
2021-01-18,4.4992,3.7509,0.1725,1.0
2021-01-19,4.5117,3.7177,0.1839,1.0
2021-01-20,4.6106,3.7812,0.1858,1.0
2021-01-21,4.6089,3.8175,0.1715,1.0
2021-01-22,4.6875,3.711,0.1741,1.0
2021-01-23,4.6114,4.094,0.1832,1.0
2021-01-24,4.5838,3.9095,0.1816,1.0
2021-01-25,4.5955,3.8781,0.1793,1.0
2021-01-26,4.5462,3.7746,0.1782,1.0
2021-01-27,4.4484,3.8402,0.176,1.0
2021-01-28,4.4838,3.868,0.1832,1.0
2021-01-29,4.6051,3.6929,0.176,1.0
2021-01-30,4.6064,3.7518,0.1783,1.0
2021-01-31,4.583,3.7532,0.1793,1.0
2021-02-01,4.47,3.7899,0.18,1.0
2021-02-02,4.4544,3.894,0.1789,1.0
2021-02-03,4.5831,3.8724,0.1831,1.0
2021-02-04,4.5575,3.8071,0.1794,1.0
2021-02-05,4.5826,3.8549,0.1791,1.0
2021-02-06,4.5079,3.7837,0.1748,1.0
2021-02-07,4.655,3.7256,0.1769,1.0
2021-02-08,4.5069,3.9395,0.1781,1.0
2021-02-09,4.6249,3.7827,0.1798,1.0
2021-02-10,4.4999,4.0645,0.1754,1.0
2021-02-11,4.5686,3.9134,0.1802,1.0
2021-02-12,4.5389,3.837,0.1791,1.0
2021-02-13,4.5412,3.9464,0.1856,1.0
2021-02-14,4.5166,3.713,0.1787,1.0
2021-02-15,4.7048,3.7696,0.1839,1.0
2021-02-16,4.6507,3.7946,0.1807,1.0
2021-02-17,4.6477,3.8121,0.1784,1.0
2021-02-18,4.5151,3.7485,0.1771,1.0
2021-02-19,4.4766,3.8534,0.1767,1.0
2021-02-20,4.564,3.6944,0.18,1.0
2021-02-21,4.6,3.6506,0.1801,1.0
2021-02-22,4.6237,3.729,0.184,1.0
2021-02-23,4.5751,3.7795,0.1788,1.0
2021-02-24,4.5835,3.8576,0.1806,1.0
2021-02-25,4.4948,3.8669,0.1748,1.0
2021-02-26,4.5433,3.7596,0.1768,1.0
2021-02-27,4.6242,3.9591,0.1808,1.0
2021-02-28,4.4845,3.8184,0.1826,1.0
2021-03-01,4.5585,4.0819,0.1802,1.0
2021-03-02,4.5615,3.8191,0.1794,1.0
2021-03-03,4.5409,3.9208,0.1819,1.0
2021-03-04,4.5028,3.7169,0.1735,1.0
2021-03-05,4.5805,3.7397,0.1725,1.0
2021-03-06,4.5733,4.0993,0.179,1.0
2021-03-07,4.6003,3.8582,0.1787,1.0
2021-03-08,4.6051,3.821,0.1798,1.0
2021-03-09,4.5693,3.7832,0.182,1.0
2021-03-10,4.5395,3.7744,0.1806,1.0
2021-03-11,4.4961,3.8528,0.179,1.0
2021-03-12,4.6152,3.8975,0.1789,1.0
2021-03-13,4.5991,3.989,0.1807,1.0
2021-03-14,4.5506,3.7188,0.1758,1.0
2021-03-15,4.5317,3.789,0.1784,1.0
2021-03-16,4.5534,3.903,0.1788,1.0
2021-03-17,4.5792,3.8564,0.1731,1.0
2021-03-18,4.4936,3.8356,0.1754,1.0
2021-03-19,4.586,4.0031,0.1827,1.0
2021-03-20,4.5372,3.9991,0.1794,1.0
2021-03-21,4.5298,3.7887,0.1781,1.0
2021-03-22,4.5267,3.867,0.1795,1.0
2021-03-23,4.5502,3.8937,0.1826,1.0
2021-03-24,4.607,3.7015,0.1713,1.0
2021-03-25,4.6061,3.7133,0.1783,1.0
2021-03-26,4.4798,3.6698,0.1806,1.0
2021-03-27,4.5955,3.7923,0.1712,1.0
2021-03-28,4.5172,3.8892,0.1746,1.0
2021-03-29,4.561,3.8485,0.1807,1.0
2021-03-30,4.5572,3.7527,0.1826,1.0
2021-03-31,4.5405,3.8473,0.1762,1.0
2021-04-01,4.5234,3.7615,0.1785,1.0
2021-04-02,4.6527,3.7128,0.1742,1.0
2021-04-03,4.6383,3.8291,0.177,1.0
2021-04-04,4.6124,3.7894,0.1845,1.0
2021-04-05,4.5907,3.8012,0.1855,1.0
2021-04-06,4.5137,3.9242,0.1799,1.0
2021-04-07,4.6281,4.0062,0.1791,1.0
2021-04-08,4.5048,3.896,0.177,1.0
2021-04-09,4.6708,3.8637,0.1779,1.0
2021-04-10,4.5611,3.7153,0.1761,1.0
2021-04-11,4.622,3.7843,0.1759,1.0
2021-04-12,4.5822,3.9686,0.1812,1.0
2021-04-13,4.6098,3.7743,0.1747,1.0
2021-04-14,4.6401,3.8177,0.1782,1.0
2021-04-15,4.6297,3.9056,0.1804,1.0
2021-04-16,4.6799,3.7856,0.1818,1.0
2021-04-17,4.5534,3.8769,0.1836,1.0
2021-04-18,4.5805,3.9038,0.1822,1.0
2021-04-19,4.5281,3.7661,0.1759,1.0
2021-04-20,4.432,4.0556,0.1757,1.0
2021-04-21,4.5367,3.8223,0.1799,1.0
2021-04-22,4.5989,3.936,0.1773,1.0
2021-04-23,4.54,3.8783,0.1783,1.0
2021-04-24,4.6464,3.8991,0.1812,1.0
2021-04-25,4.5898,3.9673,0.1795,1.0
2021-04-26,4.4722,3.89,0.177,1.0
2021-04-27,4.5183,3.9086,0.1827,1.0
2021-04-28,4.5513,3.8809,0.1841,1.0
2021-04-29,4.5644,4.1102,0.1807,1.0
2021-04-30,4.4444,3.9253,0.1801,1.0
2021-05-01,4.6274,3.9173,0.1786,1.0
2021-05-02,4.4765,3.8291,0.1764,1.0
2021-05-03,4.5152,3.9089,0.184,1.0
2021-05-04,4.5737,3.7304,0.1803,1.0
2021-05-05,4.6218,3.789,0.1786,1.0
2021-05-06,4.5509,3.7715,0.1809,1.0
2021-05-07,4.5427,3.892,0.1763,1.0
2021-05-08,4.5238,3.9222,0.1779,1.0
2021-05-09,4.6536,3.81,0.1797,1.0
2021-05-10,4.606,3.7082,0.1737,1.0
2021-05-11,4.4585,3.9763,0.1773,1.0
2021-05-12,4.7035,3.7936,0.1796,1.0
2021-05-13,4.6425,4.0506,0.1852,1.0
2021-05-14,4.6225,3.9524,0.1808,1.0
2021-05-15,4.5967,3.7949,0.1765,1.0
2021-05-16,4.5498,3.833,0.1776,1.0
2021-05-17,4.5918,3.9455,0.1793,1.0
2021-05-18,4.6387,3.7358,0.1784,1.0
2021-05-19,4.507,3.6633,0.1788,1.0
2021-05-20,4.5427,4.0013,0.1809,1.0
2021-05-21,4.4885,4.0354,0.1827,1.0
2021-05-22,4.5849,3.8274,0.1761,1.0
2021-05-23,4.5277,3.9589,0.1847,1.0
2021-05-24,4.6426,3.8011,0.1756,1.0
2021-05-25,4.5585,3.6732,0.18,1.0
2021-05-26,4.5411,3.8034,0.1742,1.0
2021-05-27,4.5808,3.7967,0.1755,1.0
2021-05-28,4.3777,3.8472,0.1843,1.0
2021-05-29,4.6497,3.8043,0.1772,1.0
2021-05-30,4.5781,3.7502,0.1799,1.0
2021-05-31,4.596,3.9727,0.1787,1.0
2021-06-01,4.5378,3.7622,0.1765,1.0
2021-06-02,4.5364,3.8867,0.1817,1.0
2021-06-03,4.5018,3.9993,0.1782,1.0
2021-06-04,4.5487,3.7753,0.1717,1.0
2021-06-05,4.603,3.9237,0.1782,1.0
2021-06-06,4.554,3.9016,0.1743,1.0
2021-06-07,4.5183,3.9294,0.1752,1.0
2021-06-08,4.5676,3.7143,0.1804,1.0
2021-06-09,4.5479,3.6885,0.1825,1.0
2021-06-10,4.5059,3.769,0.1796,1.0
2021-06-11,4.6189,3.7484,0.1792,1.0
2021-06-12,4.5757,3.9193,0.1795,1.0
2021-06-13,4.528,3.7672,0.1793,1.0
2021-06-14,4.4857,3.5579,0.1803,1.0
2021-06-15,4.6042,3.6137,0.176,1.0
2021-06-16,4.5871,4.0557,0.1791,1.0
2021-06-17,4.5063,3.8317,0.1831,1.0
2021-06-18,4.5112,3.7701,0.1776,1.0
2021-06-19,4.4928,3.8623,0.1839,1.0
2021-06-20,4.5694,3.8248,0.1781,1.0
2021-06-21,4.4562,3.9383,0.1788,1.0
2021-06-22,4.5392,4.1693,0.1799,1.0
2021-06-23,4.5049,3.8074,0.1824,1.0
2021-06-24,4.5568,3.7062,0.1818,1.0
2021-06-25,4.5099,4.0373,0.1822,1.0
