"txn_id","date","entity_id","type","gl_account","cost_centre","counterparty_id","counterparty_name","description","amount_native","currency","amount_pln","fx_rate","payment_terms_days","due_date","payment_date","is_overdue","days_overdue","status","approved_by","is_anomaly","anomaly_type"
"TXN0000029","2020-01-09","FINCORP-PL","EXPENSE","6080","CC-SALES-SE","V0035","Reilly  Byrd and Andrade","Invoice #VI-587822 - Insurance","70221.01","PLN","70221.01","1.0","30","2020-02-08","2020-02-12","False","0","PAID","Univ.Prof. Cengiz Bolzmann MBA.","False",""
"TXN0000030","2020-01-02","FINCORP-PL","EXPENSE","6020","CC-MGMT","V0024","Grupa Michnik-Mazan Sp. z o.o.","Invoice #VI-740942 - Facilities & Rent","111939.15","PLN","111939.15","1.0","30","2020-02-01","2020-02-07","False","0","PAID","pani Ida Bielat","False",""
"TXN0000031","2020-01-28","FINCORP-PL","EXPENSE","6040","CC-RND","V0030","Chandler-Hernandez","Invoice #VI-948330 - Marketing","27108.9","EUR","120596.66","4.4486","30","2020-02-27","2020-03-01","False","0","PAID","Ing. Geert Täsche","False",""
"TXN0000032","2020-01-19","FINCORP-PL","EXPENSE","6080","CC-SALES-SE","V0034","Löchel GmbH & Co. KG","Invoice #VI-439308 - Insurance","87272.78","PLN","87272.78","1.0","30","2020-02-18","2020-02-17","False","0","PAID","David Harrell","False",""
"TXN0000033","2020-01-27","FINCORP-PL","EXPENSE","6100","CC-MFG","V0039","Kelley-Chen","Invoice #VI-172418 - Maintenance","60647.86","PLN","60647.86","1.0","30","2020-02-26","2020-02-27","False","0","PAID","Craig Munoz","False",""
"TXN0000034","2020-01-29","FINCORP-PL","EXPENSE","6100","CC-RND","V0042","Koch Zirme AG","Invoice #VI-667363 - Maintenance","93156.11","PLN","93156.11","1.0","30","2020-02-28","2020-03-01","False","0","PAID","Ing. Jolanta Rust B.Sc.","False",""
"TXN0000035","2020-01-22","FINCORP-PL","EXPENSE","5010","CC-LOG","V0007","Foster Group","Invoice #VI-290268 - Raw Materials","115083.09","PLN","115083.09","1.0","30","2020-02-21","2020-04-14","False","0","PAID","Sara Johnson","False",""
"TXN0000036","2020-01-16","FINCORP-PL","EXPENSE","6030","CC-IT","V0019","Lopez-Martin","Invoice #VI-094210 - IT & Software","14241.95","USD","55468.14","3.8947","30","2020-02-15","2020-02-14","False","0","PAID","Amelie Bolzmann B.A.","False",""
"TXN0000037","2020-01-07","FINCORP-PL","EXPENSE","6090","CC-HR","V0029","Scott  Myers and Fischer","Invoice #VI-311104 - Energy & Utilities","133504.09","PLN","133504.09","1.0","14","2020-01-21","2020-01-20","False","0","PAID","Joel Williams","False",""
"TXN0000038","2020-01-04","FINCORP-PL","EXPENSE","5010","CC-MGMT","V0006","Mitchell  Smith and Reed","Invoice #VI-096690 - Raw Materials","137409.26","PLN","137409.26","1.0","30","2020-02-03","2020-02-03","False","0","PAID","Justyna Ośka","False",""
"TXN0000039","2020-01-28","FINCORP-PL","EXPENSE","6060","CC-MFG","V0023","Ehlert Hesse AG","Invoice #VI-465622 - Professional Services","30547.78","EUR","135894.83","4.4486","30","2020-02-27","2020-04-13","False","0","PAID","Charles Parks","False",""
"TXN0000040","2020-01-19","FINCORP-PL","EXPENSE","6020","CC-HR","V0026","Ramirez PLC","Invoice #VI-226948 - Facilities & Rent","95190.68","PLN","95190.68","1.0","30","2020-02-18","2020-02-18","False","0","PAID","Daniela Scholtz","False",""
"TXN0000041","2020-01-14","FINCORP-PL","EXPENSE","5010","CC-FIN","V0006","Mitchell  Smith and Reed","Invoice #VI-082425 - Raw Materials","83116.7","PLN","83116.7","1.0","30","2020-02-13","2020-02-10","False","0","PAID","Abdullah Seifert-Gute","False",""
"TXN0000042","2020-01-13","FINCORP-PL","EXPENSE","5010","CC-SALES-DE","V0007","Foster Group","Invoice #VI-180954 - Raw Materials","127221.75","PLN","127221.75","1.0","30","2020-02-12","2020-03-24","False","0","PAID","Michael Bryant","False",""
"TXN0000043","2020-01-24","FINCORP-PL","EXPENSE","5040","CC-SALES-DE","V0009","Gabinety Piechura Sp.j.","Invoice #VI-634145 - Logistics & Freight","11706.53","EUR","51138.8","4.3684","45","2020-03-09","2020-03-13","False","0","PAID","Johnny Davis","False",""
"TXN0000044","2020-01-25","FINCORP-PL","EXPENSE","5030","CC-PROC","V0049","Staude","Invoice #VI-850256 - Manufacturing Equipment","25927.86","EUR","114525.94","4.4171","60","2020-03-25","2020-03-29","False","0","PAID","Adrianna Dyś","False",""
"TXN0000045","2020-01-07","FINCORP-PL","EXPENSE","5010","CC-IT","V0001","Baker-Johnson","Invoice #VI-467249 - Raw Materials","133556.46","PLN","133556.46","1.0","30","2020-02-06","2020-02-03","False","0","PAID","Claus Klingelhöfer MBA.","False",""
"TXN0000046","2020-01-18","FINCORP-PL","EXPENSE","5040","CC-PROC","V0014","Rohleder KG","Invoice #VI-371802 - Logistics & Freight","28893.99","EUR","126821.49","4.3892","45","2020-03-03","2020-03-08","False","0","PAID","David Johnson","False",""
"TXN0000047","2020-01-27","FINCORP-PL","EXPENSE","6080","CC-SALES-SE","V0034","Löchel GmbH & Co. KG","Invoice #VI-703709 - Insurance","87709.2","PLN","87709.2","1.0","30","2020-02-26","2020-02-27","False","0","PAID","Ehrenfried Budig","False",""
"TXN0000048","2020-01-21","FINCORP-PL","EXPENSE","6060","CC-HR","V0020","Hertrampf Wiek GmbH","Invoice #VI-105333 - Professional Services","13482.35","EUR","59075.59","4.3817","30","2020-02-20","2020-02-20","False","0","PAID","Karina Niewola","False",""
"TXN0000049","2020-02-15","FINCORP-PL","REVENUE","4010","CC-MGMT","C0160","Klotz GmbH","Invoice #INV-415455 - Product delivery","89307.09","PLN","89307.09","1.0","14","2020-02-29","2020-03-10","True","2339","PAID","Sönke Sontag","False",""
"TXN0000050","2020-02-08","FINCORP-PL","REVENUE","4010","CC-FIN","C0162","Wright-Huber","Invoice #INV-601455 - Monthly retainer","93617.56","PLN","93617.56","1.0","14","2020-02-22","2020-02-21","False","0","PAID","Fabian Kubina","False",""
"TXN0000051","2020-02-16","FINCORP-PL","REVENUE","4010","CC-IT","C0001","Moore  Smith and Warren","Invoice #INV-771041 - Product delivery","100974.07","PLN","100974.07","1.0","45","2020-04-01","2020-04-09","True","2307","PAID","Mirco Hövel B.Sc.","False",""
"TXN0000052","2020-02-08","FINCORP-PL","REVENUE","4010","CC-HR","C0135","Klotz Gute GmbH","Invoice #INV-350411 - Monthly retainer","127596.84","PLN","127596.84","1.0","14","2020-02-22","2020-02-17","False","0","PAID","Leah Hernandez","False",""
"TXN0000053","2020-02-07","FINCORP-PL","REVENUE","4020","CC-RND","C0012","Morris Group","Invoice #INV-144568 - Product delivery","102517.47","PLN","102517.47","1.0","45","2020-03-23","2020-04-15","True","2316","PAID","Frau Wiebke Kraus B.A.","False",""
"TXN0000054","2020-02-25","FINCORP-PL","REVENUE","4020","CC-RND","C0092","Fundacja Jagieło Sp.j.","Invoice #INV-441245 - Product delivery","113825.86","PLN","113825.86","1.0","30","2020-03-26","2020-03-28","True","2313","PAID","Eric Mann","False",""
"TXN0000055","2020-02-01","FINCORP-PL","REVENUE","4020","CC-MFG","C0198","Krause Kostolzin KG","Invoice #INV-400147 - Logistics fee","98539.54","PLN","98539.54","1.0","14","2020-02-15","2020-02-14","False","0","PAID","Cyprian Adrian","False",""
"TXN0000056","2020-02-19","FINCORP-PL","REVENUE","4030","CC-PROC","C0140","Wilson  James and Williams","Invoice #INV-681199 - Monthly retainer","80535.08","PLN","80535.08","1.0","14","2020-03-04","2020-03-04","False","0","PAID","Luzie Graf B.Eng.","False",""
"TXN0000057","2020-02-09","FINCORP-PL","REVENUE","4010","CC-MFG","C0179","Gibbs-White","Invoice #INV-113184 - Monthly retainer","90891.65","PLN","90891.65","1.0","14","2020-02-23","2020-02-22","False","0","PAID","Curt Dobes-Franke","False",""
"TXN0000058","2020-02-18","FINCORP-PL","REVENUE","4010","CC-MFG","C0010","Fundacja Siedlaczek","Invoice #INV-396724 - Logistics fee","77198.06","PLN","77198.06","1.0","45","2020-04-03","2020-04-04","True","2305","PAID","Prof. Christa Faust B.Eng.","False",""
"TXN0000059","2020-02-28","FINCORP-PL","REVENUE","4030","CC-FIN","C0080","Parrish  White and Stanley","Invoice #INV-547799 - Product delivery","93618.14","PLN","93618.14","1.0","30","2020-03-29","2020-04-08","True","2310","PAID","Arkadiusz Ksel","False",""
"TXN0000060","2020-02-28","FINCORP-PL","REVENUE","4020","CC-PROC","C0193","Biggen Vogt KG","Invoice #INV-266041 - Product delivery","103348.29","PLN","103348.29","1.0","14","2020-03-13","2020-03-19","True","2326","PAID","Dariusz Wincenciak","False",""
"TXN0000061","2020-02-23","FINCORP-PL","REVENUE","4010","CC-HR","C0168","Hertrampf Hering GmbH","Invoice #INV-296412 - Monthly retainer","80045.12","PLN","80045.12","1.0","14","2020-03-08","2020-03-14","True","2331","PAID","Univ.Prof. Torben Hering B.Eng.","False",""
"TXN0000062","2020-02-04","FINCORP-PL","REVENUE","4020","CC-IT","C0191","FPUH Obst","Invoice #INV-104914 - Monthly retainer","88021.48","PLN","88021.48","1.0","14","2020-02-18","2020-02-23","True","2350","PAID","John Davis","False",""
"TXN0000063","2020-02-19","FINCORP-PL","REVENUE","4030","CC-PROC","C0178","Keudel","Invoice #INV-843778 - Product delivery","92296.77","PLN","92296.77","1.0","14","2020-03-04","2020-03-07","True","2335","PAID","Inga Kocaj","False",""
"TXN0000064","2020-02-22","FINCORP-PL","REVENUE","4020","CC-MGMT","C0187","Trapp","Invoice #INV-427194 - Logistics fee","86894.18","PLN","86894.18","1.0","14","2020-03-07","2020-03-07","False","0","PAID","Klara Gregorczuk","False",""
"TXN0000065","2020-02-12","FINCORP-PL","REVENUE","4020","CC-FIN","C0083","Aumann Stadelmann GmbH & Co. KG","Invoice #INV-881985 - Monthly retainer","63078.6","PLN","63078.6","1.0","30","2020-03-13","2020-03-17","True","2326","PAID","Dimitrios Kensy","False",""
"TXN0000066","2020-02-07","FINCORP-PL","REVENUE","4010","CC-FIN","C0155","Gude","Invoice #INV-874892 - Monthly retainer","108583.57","PLN","108583.57","1.0","14","2020-02-21","2020-03-01","True","2347","PAID","Dr. Henrike Kraushaar","False",""
"TXN0000067","2020-02-20","FINCORP-PL","REVENUE","4020","CC-FIN","C0011","PPUH Wawrzyczek Sp. z o.o.","Invoice #INV-785465 - Product delivery","109260.64","PLN","109260.64","1.0","45","2020-04-05","2020-04-13","True","2303","PAID","Anita Gałęza","False",""
"TXN0000068","2020-02-04","FINCORP-PL","REVENUE","4020","CC-MGMT","C0020","Gabinety Druszcz i syn s.c.","Invoice #INV-724078 - Service contract","105144.87","PLN","105144.87","1.0","45","2020-03-20","2020-03-26","True","2319","PAID","Krystian Tekiela","False",""
"TXN0000069","2020-02-14","FINCORP-PL","REVENUE","4030","CC-MFG","C0008","Gardner-Steele","Invoice #INV-958222 - Service contract","66051.4","PLN","66051.4","1.0","45","2020-03-30","2020-04-08","True","2309","PAID","Alan Kunda","False",""
"TXN0000070","2020-02-13","FINCORP-PL","REVENUE","4030","CC-FIN","C0018","Nelson Group","Invoice #INV-232603 - Monthly retainer","72947.88","PLN","72947.88","1.0","45","2020-03-29","2020-04-04","True","2310","PAID","Andrej Reinhardt-Kruschwitz","False",""
"TXN0000071","2020-02-18","FINCORP-PL","REVENUE","4010","CC-FIN","C0146","Laszkiewicz-Kastelik i syn s.c.","Invoice #INV-390109 - Logistics fee","57884.0","PLN","57884.0","1.0","14","2020-03-03","2020-03-12","True","2336","PAID","Arnold Mies","False",""
"TXN0000072","2020-02-18","FINCORP-PL","REVENUE","4030","CC-MGMT","C0114","Gabinety Brzeźniak-Łyskawa s.c.","Invoice #INV-849509 - Logistics fee","111944.04","PLN","111944.04","1.0","30","2020-03-19","2020-03-18","False","0","PAID","Ignacy Rohde","False",""
"TXN0000073","2020-02-28","FINCORP-PL","REVENUE","4020","CC-MFG","C0102","Jones PLC","Invoice #INV-724390 - Product delivery","78747.49","PLN","78747.49","1.0","30","2020-03-29","2020-03-31","True","2310","PAID","pani Ewelina Glenc","False",""
"TXN0000074","2020-02-16","FINCORP-PL","EXPENSE","6040","CC-LOG","V0032","FPUH Borysiewicz","Invoice #VI-427759 - Marketing","20694.83","EUR","92818.37","4.4851","30","2020-03-17","2020-03-22","False","0","PAID","Sarah Vargas","False",""
"TXN0000075","2020-02-09","FINCORP-PL","EXPENSE","6030","CC-SALES-SE","V0017","Ware and Sons","Invoice #VI-550190 - IT & Software","28449.7","USD","116276.76","4.0871","30","2020-03-10","2020-03-14","False","0","PAID","Martine Börner-Heydrich","False",""
"TXN0000076","2020-02-19","FINCORP-PL","EXPENSE","6100","CC-SALES-SE","V0040","Gutierrez Inc","Invoice #VI-212289 - Maintenance","71644.61","PLN","71644.61","1.0","30","2020-03-20","2020-03-24","False","0","PAID","Imre Wieloch","False",""
"TXN0000077","2020-02-15","FINCORP-PL","EXPENSE","5010","CC-MGMT","V0008","Bolander","Invoice #VI-302910 - Raw Materials","57978.43","PLN","57978.43","1.0","30","2020-03-16","2020-03-14","False","0","PAID","Sybille Peukert","False",""
"TXN0000078","2020-02-04","FINCORP-PL","EXPENSE","5040","CC-LOG","V0012","Olson PLC","Invoice #VI-915787 - Logistics & Freight","29039.64","EUR","127559.53","4.3926","45","2020-03-20","2020-03-24","False","0","PAID","Karol Nazar","False",""
"TXN0000079","2020-02-09","FINCORP-PL","EXPENSE","7010","CC-FIN","V0044","Rädel Scheel GmbH","Invoice #VI-708733 - Banking","133841.58","PLN","133841.58","1.0","7","2020-02-16","2020-02-18","False","0","PAID","Aurelia Humeniuk","False",""
"TXN0000080","2020-02-25","FINCORP-PL","EXPENSE","5030","CC-IT","V0046","Henck Kambs AG","Invoice #VI-347467 - Manufacturing Equipment","11570.28","EUR","51522.44","4.453","60","2020-04-25","2020-04-30","False","0","PAID","Dipl.-Ing. Hulda Schlosser B.A.","False",""
"TXN0000081","2020-02-25","FINCORP-PL","EXPENSE","6060","CC-SALES-DE","V0020","Hertrampf Wiek GmbH","Invoice #VI-547500 - Professional Services","27676.67","EUR","123244.22","4.453","30","2020-03-26","2020-04-02","False","0","PAID","Dipl.-Ing. Sieghard Steuer","False",""
"TXN0000082","2020-02-12","FINCORP-PL","EXPENSE","6020","CC-SALES-SE","V0024","Grupa Michnik-Mazan Sp. z o.o.","Invoice #VI-768363 - Facilities & Rent","91998.52","PLN","91998.52","1.0","30","2020-03-13","2020-03-11","False","0","PAID","Dr. Jennifer Dixon MD","False",""
"TXN0000083","2020-02-25","FINCORP-PL","EXPENSE","5040","CC-MFG","V0009","Gabinety Piechura Sp.j.","Invoice #VI-524986 - Logistics & Freight","15088.78","EUR","67190.34","4.453","45","2020-04-10","2020-04-14","False","0","PAID","Anka Vollbrecht B.Sc.","False",""
"TXN0000084","2020-02-15","FINCORP-PL","EXPENSE","6020","CC-MGMT","V0024","Grupa Michnik-Mazan Sp. z o.o.","Invoice #VI-208188 - Facilities & Rent","96126.76","PLN","96126.76","1.0","30","2020-03-16","2020-03-18","False","0","PAID","Jamie Hall","False",""
"TXN0000085","2020-02-22","FINCORP-PL","EXPENSE","6050","CC-LOG","V0036","Zirme","Invoice #VI-675148 - Travel","57435.14","PLN","57435.14","1.0","14","2020-03-07","2020-03-05","False","0","PAID","Grzegorz Wosiek","False",""
"TXN0000086","2020-02-11","FINCORP-PL","EXPENSE","6060","CC-RND","V0020","Hertrampf Wiek GmbH","Invoice #VI-642182 - Professional Services","19014.41","EUR","81912.19","4.3079","30","2020-03-12","2020-03-16","False","0","PAID","Tammy Wood","False",""
"TXN0000087","2020-02-13","FINCORP-PL","EXPENSE","6090","CC-LOG","V0027","Hellwig e.V.","Invoice #VI-716652 - Energy & Utilities","115747.81","PLN","115747.81","1.0","14","2020-02-27","2020-03-04","False","0","PAID","William Jones","False",""
"TXN0000088","2020-02-17","FINCORP-PL","EXPENSE","5040","CC-LOG","V0009","Gabinety Piechura Sp.j.","Invoice #VI-363614 - Logistics & Freight","29677.99","EUR","134281.03","4.5246","45","2020-04-02","2020-04-09","False","0","PAID","Marcelina Kierepka","False",""
"TXN0000089","2020-02-17","FINCORP-PL","EXPENSE","6090","CC-FIN","V0029","Scott  Myers and Fischer","Invoice #VI-386721 - Energy & Utilities","88083.99","PLN","88083.99","1.0","14","2020-03-02","2020-03-07","False","0","PAID","Camilla Bender","False",""
"TXN0000090","2020-02-26","FINCORP-PL","EXPENSE","5040","CC-PROC","V0009","Gabinety Piechura Sp.j.","Invoice #VI-694335 - Logistics & Freight","28558.76","EUR","125669.97","4.4004","45","2020-04-11","2020-04-16","False","0","PAID","Gebhard Misicher","False",""
"TXN0000091","2020-02-01","FINCORP-PL","EXPENSE","5040","CC-HR","V0012","Olson PLC","Invoice #VI-858336 - Logistics & Freight","26314.74","EUR","115621.69","4.3938","45","2020-03-17","2020-03-16","False","0","PAID","Calogero Schuster B.A.","False",""
"TXN0000092","2020-02-21","FINCORP-PL","EXPENSE","6040","CC-LOG","V0033","Bishop Ltd","Invoice #VI-147361 - Marketing","28985.93","EUR","128656.96","4.4386","30","2020-03-22","2020-03-19","False","0","PAID","Ewa Gęgotek","False",""
"TXN0000093","2020-02-17","FINCORP-PL","EXPENSE","6080","CC-SALES-DE","V0034","Löchel GmbH & Co. KG","Invoice #VI-267376 - Insurance","59555.01","PLN","59555.01","1.0","30","2020-03-18","2020-03-17","False","0","PAID","Hedwig Heuser","False",""
"TXN0000094","2020-02-11","FINCORP-PL","EXPENSE","6060","CC-FIN","V0021","Lara Inc","Invoice #VI-083180 - Professional Services","30373.99","EUR","130848.09","4.3079","30","2020-03-12","2020-03-12","False","0","PAID","Erdogan Karge-Hoffmann","False",""
"TXN0000095","2020-02-25","FINCORP-PL","EXPENSE","6080","CC-IT","V0034","Löchel GmbH & Co. KG","Invoice #VI-997992 - Insurance","127217.24","PLN","127217.24","1.0","30","2020-03-26","2020-03-24","False","0","PAID","Jessica Lucas","False",""
"TXN0000096","2020-02-21","FINCORP-PL","EXPENSE","5040","CC-IT","V0013","PPUH Glenc-Mrózek s.c.","Invoice #VI-142777 - Logistics & Freight","23322.04","EUR","103517.21","4.4386","45","2020-04-06","2020-04-11","False","0","PAID","pani Kalina Skocz","False",""
"TXN0000097","2020-02-03","FINCORP-PL","EXPENSE","5040","CC-RND","V0009","Gabinety Piechura Sp.j.","Invoice #VI-018076 - Logistics & Freight","23312.29","EUR","102602.04","4.4012","45","2020-03-19","2020-03-25","False","0","PAID","Kai-Uwe Davids","False",""
"TXN0000098","2020-02-25","FINCORP-PL","EXPENSE","5010","CC-PROC","V0006","Mitchell  Smith and Reed","Invoice #VI-487618 - Raw Materials","91434.67","PLN","91434.67","1.0","30","2020-03-26","2020-03-25","False","0","PAID","Konrad Żero","False",""
"TXN0000099","2020-03-02","FINCORP-PL","REVENUE","4030","CC-PROC","C0040","Nelson Group","Invoice #INV-301471 - Product delivery","51574.95","PLN","51574.95","1.0","45","2020-04-16","2020-04-21","True","2292","PAID","Joseph Oliver","False",""
"TXN0000100","2020-03-28","FINCORP-PL","REVENUE","4030","CC-RND","C0008","Gardner-Steele","Invoice #INV-829272 - Service contract","46537.4","PLN","46537.4","1.0","45","2020-05-12","2020-05-15","True","2266","PAID","Juliusz Steciuk","False",""
"TXN0000101","2020-03-12","FINCORP-PL","REVENUE","4030","CC-HR","C0197","Hornig","Invoice #INV-123496 - Logistics fee","74022.05","PLN","74022.05","1.0","14","2020-03-26","2020-03-21","False","0","PAID","Kamil Siergiej","False",""
"TXN0000102","2020-03-10","FINCORP-PL","REVENUE","4020","CC-PROC","C0165","Kohl Trommler Stiftung & Co. KGaA","Invoice #INV-063094 - Monthly retainer","95549.65","PLN","95549.65","1.0","14","2020-03-24","2020-03-26","True","2315","PAID","Dr. Karl-August Jäntsch MBA.","False",""
"TXN0000103","2020-03-14","FINCORP-PL","REVENUE","4030","CC-IT","C0077","Mentzel GmbH & Co. OHG","Invoice #INV-255361 - Monthly retainer","67382.42","PLN","67382.42","1.0","30","2020-04-13","2020-04-09","False","0","PAID","Jessica Hopkins","False",""
