period,entity_id,revenue_pln,gross_margin_pct,ebitda_margin_pct,net_margin_pct,ar_outstanding_pln,ar_overdue_pln,ar_overdue_pct,dso_days,transaction_count,avg_invoice_value_pln
2021-06,FINCORP-DE,2219719.86,50.25,9.49,5.05,0,1632254.66,0,0.0,19,116827.36
2021-07,FINCORP-DE,2017751.27,52.17,13.41,8.35,0,1362243.22,0,0.0,17,118691.25
2021-08,FINCORP-DE,1678394.44,57.92,1.29,-3.24,0,950419.45,0,0.0,24,69933.1
2021-09,FINCORP-DE,2150435.33,75.57,28.47,16.58,0,1589481.35,0,0.0,20,107521.77
2021-10,FINCORP-DE,2349170.5,57.26,17.92,10.66,0,1062379.51,0,0.0,22,106780.48
2021-11,FINCORP-DE,2183350.95,55.43,16.75,11.06,0,1307124.73,0,0.0,20,109167.55
2021-12,FINCORP-DE,1912068.29,57.0,3.95,-0.3,0,936186.8,0,0.0,16,119504.27
2022-01,FINCORP-DE,1826347.89,47.84,-18.2,-25.62,0,1093973.39,0,0.0,20,91317.39
2022-02,FINCORP-DE,1821068.5,40.81,-5.15,-16.17,0,1014711.15,0,0.0,24,75877.85
2022-03,FINCORP-DE,2166865.28,57.74,1.49,-7.49,0,825094.6,0,0.0,17,127462.66
2022-04,FINCORP-DE,2444652.07,58.41,11.93,6.65,0,1509259.18,0,0.0,21,116412.0
2022-05,FINCORP-DE,2715014.48,69.83,24.86,14.12,0,1178123.6,0,0.0,24,113125.6
2022-06,FINCORP-DE,2536904.84,50.04,15.2,10.05,0,1906123.05,0,0.0,24,105704.37
2022-07,FINCORP-DE,2016689.6,73.62,8.44,-9.2,0,1516774.48,0,0.0,25,80667.58
2022-08,FINCORP-DE,2010178.7,51.62,-5.11,-9.65,0,874046.18,0,0.0,18,111676.59
2022-09,FINCORP-DE,2436802.87,66.75,15.09,7.22,0,1286793.63,0,0.0,18,135377.94
2022-10,FINCORP-DE,2643454.54,63.07,25.92,13.24,0,1671104.12,0,0.0,16,165215.91
2022-11,FINCORP-DE,2539497.0,55.51,7.73,3.16,0,2030446.0,0,0.0,23,110412.91
2022-12,FINCORP-DE,2261937.55,28.71,0.59,-1.66,0,1218772.6,0,0.0,22,102815.34
2023-01,FINCORP-DE,1832086.12,60.55,-3.41,-18.26,0,1175026.87,0,0.0,24,76336.92
2023-02,FINCORP-DE,1677348.5,59.39,-14.18,-24.31,0,1067084.36,0,0.0,18,93186.03
2023-03,FINCORP-DE,1955184.36,40.52,-1.06,-4.39,0,1242068.81,0,0.0,22,88872.02
2023-04,FINCORP-DE,2365279.92,84.3,24.22,13.86,0,1518437.41,0,0.0,25,94611.2
2023-05,FINCORP-DE,2171572.89,74.43,13.34,6.85,0,1225972.57,0,0.0,18,120642.94
2023-06,FINCORP-DE,2440161.11,68.62,23.39,12.63,0,1379656.37,0,0.0,18,135564.51
2023-07,FINCORP-DE,2095137.48,76.63,-0.46,-6.62,0,1092285.6,0,0.0,20,104756.87
2023-08,FINCORP-DE,1928348.01,55.82,20.61,-4.36,0,1420064.91,0,0.0,19,101492.0
2023-09,FINCORP-DE,2301038.05,78.88,14.17,7.29,0,1427663.18,0,0.0,22,104592.64
2023-10,FINCORP-DE,2503147.32,83.44,31.41,19.95,0,1060238.58,0,0.0,24,104297.8
2023-11,FINCORP-DE,2389419.66,71.16,25.37,17.58,0,1091053.69,0,0.0,23,103887.81
2023-12,FINCORP-DE,2175089.53,55.47,18.39,12.5,0,1654322.07,0,0.0,23,94569.11
2024-01,FINCORP-DE,1695361.52,64.24,-3.45,-14.77,0,1225633.41,0,0.0,20,84768.08
2024-02,FINCORP-DE,1867891.42,66.13,8.94,-0.8,0,1114333.27,0,0.0,22,84904.16
2024-03,FINCORP-DE,2046869.62,57.42,6.61,2.06,0,1059476.09,0,0.0,17,120404.1
2024-04,FINCORP-DE,2309141.93,71.18,32.12,18.74,0,1235144.75,0,0.0,25,92365.68
2024-05,FINCORP-DE,2147149.67,72.31,22.77,11.87,0,1064068.14,0,0.0,15,143143.31
2024-06,FINCORP-DE,2353530.14,58.74,24.82,13.07,0,1742671.92,0,0.0,17,138442.95
2024-07,FINCORP-DE,1852191.38,58.3,4.34,-4.41,0,1263682.72,0,0.0,24,77174.64
2024-08,FINCORP-DE,1827822.26,60.37,11.02,-0.05,0,852088.53,0,0.0,23,79470.53
2024-09,FINCORP-DE,2190685.81,70.66,16.85,7.56,0,1393482.37,0,0.0,20,109534.29
2024-10,FINCORP-DE,2166176.07,66.84,17.18,10.7,0,1247345.78,0,0.0,23,94181.57
2024-11,FINCORP-DE,2279406.78,57.37,22.42,15.89,0,2038750.29,0,0.0,20,113970.34
2024-12,FINCORP-DE,2295172.08,81.28,22.6,13.12,0,1474457.96,0,0.0,22,104326.0
2020-01,FINCORP-CZ,814553.17,75.61,6.51,-3.56,0,546850.81,0,0.0,18,45252.95
2020-02,FINCORP-CZ,824061.03,47.12,0.47,-8.31,0,525252.91,0,0.0,24,34335.88
2020-03,FINCORP-CZ,607408.45,56.56,-35.87,-53.44,0,423944.75,0,0.0,19,31968.87
2020-04,FINCORP-CZ,536888.29,33.49,-52.53,-59.41,0,321670.85,0,0.0,24,22370.35
2020-05,FINCORP-CZ,618137.25,25.26,-38.43,-43.53,0,501858.63,0,0.0,24,25755.72
2020-06,FINCORP-CZ,728756.41,62.94,-6.31,-15.75,0,556428.45,0,0.0,18,40486.47
2020-07,FINCORP-CZ,642120.49,45.42,-27.28,-37.89,0,399814.9,0,0.0,24,26755.02
2020-08,FINCORP-CZ,673897.82,69.52,-24.0,-36.08,0,477207.14,0,0.0,19,35468.31
2020-09,FINCORP-CZ,914696.36,80.57,12.05,5.32,0,522873.51,0,0.0,22,41577.11
2020-10,FINCORP-CZ,978652.71,57.05,17.07,4.75,0,677132.34,0,0.0,25,39146.11
2020-11,FINCORP-CZ,752846.7,52.58,-17.25,-25.7,0,444472.07,0,0.0,15,50189.78
2020-12,FINCORP-CZ,682354.87,32.59,-32.18,-37.36,0,525743.03,0,0.0,19,35913.41
2021-01,FINCORP-CZ,990797.06,76.22,6.96,-1.21,0,835423.51,0,0.0,25,39631.88
2021-02,FINCORP-CZ,989613.78,62.55,3.75,-3.49,0,469775.02,0,0.0,25,39584.55
2021-03,FINCORP-CZ,1098657.43,62.35,13.49,4.22,0,873445.46,0,0.0,15,73243.83
2021-04,FINCORP-CZ,1125238.29,66.93,15.5,9.22,0,617459.91,0,0.0,16,70327.39
2021-05,FINCORP-CZ,1303503.99,78.81,34.64,24.14,0,952850.14,0,0.0,16,81469.0
2021-06,FINCORP-CZ,1173011.66,62.48,14.21,8.38,0,595766.45,0,0.0,20,58650.58
2021-07,FINCORP-CZ,942571.24,68.33,-3.29,-18.52,0,432238.65,0,0.0,16,58910.7
2021-08,FINCORP-CZ,1038828.32,71.57,11.02,2.1,0,647654.26,0,0.0,22,47219.47
2021-09,FINCORP-CZ,1209022.5,80.73,36.35,16.85,0,618836.0,0,0.0,23,52566.2
2021-10,FINCORP-CZ,1209148.43,72.35,20.42,8.32,0,935133.69,0,0.0,17,71126.38
2021-11,FINCORP-CZ,1328066.21,57.37,22.91,12.81,0,799592.65,0,0.0,23,57742.01
2021-12,FINCORP-CZ,1088143.42,43.52,0.23,-8.59,0,645304.27,0,0.0,23,47310.58
2022-01,FINCORP-CZ,977073.48,61.51,-21.51,-38.2,0,345709.27,0,0.0,20,48853.67
2022-02,FINCORP-CZ,1074856.63,62.54,-8.94,-19.37,0,697258.95,0,0.0,20,53742.83
2022-03,FINCORP-CZ,1356082.99,47.94,18.27,6.86,0,1092441.74,0,0.0,17,79769.59
2022-04,FINCORP-CZ,1294666.48,75.82,9.61,-1.92,0,710490.22,0,0.0,18,71925.92
2022-05,FINCORP-CZ,1434167.66,65.19,22.02,12.96,0,1123571.22,0,0.0,18,79675.98
2022-06,FINCORP-CZ,1462442.36,71.64,23.46,15.88,0,1002641.6,0,0.0,20,73122.12
2022-07,FINCORP-CZ,1134441.54,45.87,-14.67,-23.54,0,890326.5,0,0.0,20,56722.08
2022-08,FINCORP-CZ,1216454.18,50.41,-4.45,-11.21,0,888956.12,0,0.0,20,60822.71
2022-09,FINCORP-CZ,1425065.2,69.49,7.24,-7.29,0,985970.08,0,0.0,17,83827.36
2022-10,FINCORP-CZ,1310199.86,59.67,6.55,1.86,0,836379.13,0,0.0,20,65509.99
2022-11,FINCORP-CZ,1465332.05,83.13,19.91,9.4,0,837104.73,0,0.0,25,58613.28
2022-12,FINCORP-CZ,1224412.54,53.23,-10.64,-15.75,0,857186.67,0,0.0,24,51017.19
2023-01,FINCORP-CZ,1046872.61,83.27,12.52,5.56,0,763970.03,0,0.0,18,58159.59
2023-02,FINCORP-CZ,1063490.8,47.56,-3.61,-11.08,0,507102.61,0,0.0,20,53174.54
2023-03,FINCORP-CZ,1251810.61,69.85,12.12,6.08,0,910603.06,0,0.0,15,83454.04
2023-04,FINCORP-CZ,1248827.24,67.35,23.49,11.93,0,631915.76,0,0.0,25,49953.09
2023-05,FINCORP-CZ,1361201.33,74.11,26.19,14.54,0,482988.16,0,0.0,22,61872.79
2023-06,FINCORP-CZ,1332854.77,75.91,28.53,17.79,0,903309.68,0,0.0,19,70150.25
2023-07,FINCORP-CZ,1170604.32,70.71,19.79,9.71,0,836620.02,0,0.0,23,50895.84
2023-08,FINCORP-CZ,1075549.48,48.56,-5.29,-9.59,0,677951.74,0,0.0,18,59752.75
2023-09,FINCORP-CZ,1199856.17,58.52,11.69,4.14,0,911270.98,0,0.0,24,49994.01
2023-10,FINCORP-CZ,1395345.49,83.74,30.03,18.53,0,899517.97,0,0.0,25,55813.82
2023-11,FINCORP-CZ,1354551.15,82.58,30.17,21.04,0,864004.66,0,0.0,16,84659.45
2023-12,FINCORP-CZ,1171776.89,73.1,10.48,4.43,0,429882.48,0,0.0,17,68928.05
2024-01,FINCORP-CZ,952954.69,69.43,0.02,-10.68,0,630311.62,0,0.0,19,50155.51
2024-02,FINCORP-CZ,895929.5,81.15,2.09,-4.24,0,262295.09,0,0.0,25,35837.18
2024-03,FINCORP-CZ,1001338.63,73.15,1.87,-9.81,0,451980.07,0,0.0,15,66755.91
2024-04,FINCORP-CZ,1143973.08,60.93,11.63,6.23,0,596499.13,0,0.0,19,60209.11
2024-05,FINCORP-CZ,1313305.36,72.49,34.54,24.01,0,832836.86,0,0.0,24,54721.06
2024-06,FINCORP-CZ,1440808.11,83.33,27.01,12.53,0,1066795.06,0,0.0,21,68609.91
2024-07,FINCORP-CZ,1048735.22,53.03,0.58,-10.54,0,460551.87,0,0.0,22,47669.78
2024-08,FINCORP-CZ,1037177.86,67.34,5.51,0.45,0,667614.33,0,0.0,23,45094.69
2024-09,FINCORP-CZ,1240062.95,68.33,26.64,14.92,0,792149.02,0,0.0,21,59050.62
2024-10,FINCORP-CZ,1325279.99,70.06,24.01,14.48,0,964498.32,0,0.0,17,77957.65
2024-11,FINCORP-CZ,1234786.56,64.69,26.6,19.08,0,813145.08,0,0.0,25,49391.46
2024-12,FINCORP-CZ,1224052.37,72.42,15.83,1.39,0,532545.72,0,0.0,22,55638.74
2020-01,FINCORP-SE,573061.57,50.45,-11.36,-25.96,0,387648.9,0,0.0,22,26048.25
2020-02,FINCORP-SE,655174.81,51.28,3.05,-3.25,0,408016.81,0,0.0,21,31198.8
2020-03,FINCORP-SE,468094.84,62.31,-42.1,-56.53,0,345751.32,0,0.0,22,21277.04
2020-04,FINCORP-SE,403974.03,30.62,-47.84,-68.64,0,261177.13,0,0.0,21,19236.86
2020-05,FINCORP-SE,465856.42,58.83,-38.03,-45.78,0,327701.51,0,0.0,15,31057.09
2020-06,FINCORP-SE,572675.35,74.47,-9.31,-22.42,0,348862.98,0,0.0,17,33686.79
2020-07,FINCORP-SE,518456.12,59.89,-24.6,-31.35,0,337743.72,0,0.0,22,23566.19
2020-08,FINCORP-SE,468540.65,49.17,-22.68,-36.47,0,309535.65,0,0.0,25,18741.63
2020-09,FINCORP-SE,704142.01,72.21,16.59,1.8,0,460291.95,0,0.0,24,29339.25
2020-10,FINCORP-SE,733275.39,60.39,8.44,-0.94,0,423926.68,0,0.0,23,31881.54
2020-11,FINCORP-SE,630642.6,52.23,-5.39,-10.0,0,301372.92,0,0.0,23,27419.24
2020-12,FINCORP-SE,536677.53,58.04,-36.0,-43.53,0,288359.64,0,0.0,23,23333.81
2021-01,FINCORP-SE,699636.65,59.12,8.21,-6.08,0,472707.95,0,0.0,19,36822.98
2021-02,FINCORP-SE,786896.18,66.52,12.74,-3.19,0,500373.64,0,0.0,22,35768.01
2021-03,FINCORP-SE,772032.6,57.5,1.82,-2.63,0,364127.42,0,0.0,18,42890.7
2021-04,FINCORP-SE,876003.19,66.67,28.03,15.9,0,659227.08,0,0.0,22,39818.33
2021-05,FINCORP-SE,999652.25,50.45,22.76,16.64,0,656508.29,0,0.0,19,52613.28
2021-06,FINCORP-SE,982745.22,80.34,31.79,19.94,0,480897.51,0,0.0,19,51723.43
2021-07,FINCORP-SE,778907.89,49.46,-1.84,-9.74,0,681056.06,0,0.0,19,40995.15
2021-08,FINCORP-SE,755980.31,58.57,-4.18,-12.83,0,596294.64,0,0.0,22,34362.74
2021-09,FINCORP-SE,990833.28,62.98,27.66,17.05,0,608560.74,0,0.0,23,43079.71
2021-10,FINCORP-SE,1013905.15,68.3,26.68,15.79,0,665747.65,0,0.0,24,42246.05
2021-11,FINCORP-SE,1015666.77,57.48,19.68,10.57,0,836439.33,0,0.0,17,59745.1
2021-12,FINCORP-SE,904732.66,76.49,19.14,8.83,0,604727.37,0,0.0,25,36189.31
2022-01,FINCORP-SE,744416.61,48.03,-25.22,-34.38,0,481473.89,0,0.0,20,37220.83
2022-02,FINCORP-SE,956402.61,67.13,12.62,-0.99,0,602884.5,0,0.0,17,56258.98
2022-03,FINCORP-SE,981201.84,82.01,9.54,1.85,0,610714.13,0,0.0,23,42660.95
2022-04,FINCORP-SE,1036567.24,67.2,11.75,4.73,0,486578.9,0,0.0,23,45068.14
2022-05,FINCORP-SE,1058295.11,74.13,11.38,1.75,0,766730.79,0,0.0,25,42331.8
2022-06,FINCORP-SE,1128593.31,66.21,23.55,7.89,0,721835.03,0,0.0,21,53742.54
2022-07,FINCORP-SE,898318.43,57.72,11.2,2.33,0,689872.66,0,0.0,22,40832.66
2022-08,FINCORP-SE,899845.71,65.76,3.13,-12.66,0,551398.8,0,0.0,16,56240.36
2022-09,FINCORP-SE,992447.4,75.73,21.23,9.37,0,551496.43,0,0.0,25,39697.9
2022-10,FINCORP-SE,1163045.3,82.5,27.48,16.05,0,551224.62,0,0.0,24,48460.22
2022-11,FINCORP-SE,1265857.79,66.74,31.53,20.55,0,1020202.0,0,0.0,16,79116.11
2022-12,FINCORP-SE,965764.76,53.66,6.38,-2.4,0,434364.28,0,0.0,23,41989.77
2023-01,FINCORP-SE,717196.05,66.84,-14.93,-21.47,0,566361.7,0,0.0,16,44824.75
2023-02,FINCORP-SE,853792.84,63.78,10.9,5.4,0,639170.03,0,0.0,19,44936.47
2023-03,FINCORP-SE,857011.6,54.02,8.15,-7.75,0,452923.4,0,0.0,17,50412.45
2023-04,FINCORP-SE,926374.82,69.19,17.26,8.21,0,515600.52,0,0.0,24,38598.95
2023-05,FINCORP-SE,1050916.31,85.75,23.71,12.55,0,726995.65,0,0.0,16,65682.27
2023-06,FINCORP-SE,1013038.07,67.24,18.28,9.88,0,525271.79,0,0.0,19,53317.79
2023-07,FINCORP-SE,861545.38,64.29,-4.46,-9.95,0,428955.4,0,0.0,16,53846.59
2023-08,FINCORP-SE,844593.66,75.6,7.92,-1.74,0,577556.71,0,0.0,24,35191.4
2023-09,FINCORP-SE,969214.77,74.52,17.32,10.32,0,528785.91,0,0.0,17,57012.63
2023-10,FINCORP-SE,1160446.22,73.64,34.58,21.21,0,806229.15,0,0.0,15,77363.08
2023-11,FINCORP-SE,1139271.63,67.36,25.17,17.65,0,841627.8,0,0.0,16,71204.48
2023-12,FINCORP-SE,897026.17,54.04,14.86,5.08,0,503042.42,0,0.0,22,40773.92
2024-01,FINCORP-SE,784011.19,67.81,5.37,0.3,0,602450.09,0,0.0,22,35636.87
2024-02,FINCORP-SE,771143.18,52.77,-1.42,-11.17,0,437202.26,0,0.0,21,36721.1
2024-03,FINCORP-SE,917189.57,75.03,16.42,7.48,0,656730.4,0,0.0,24,38216.23
2024-04,FINCORP-SE,1013292.82,72.5,27.4,16.58,0,605615.53,0,0.0,21,48252.04
2024-05,FINCORP-SE,997053.28,78.84,31.99,18.01,0,559024.98,0,0.0,21,47478.73
2024-06,FINCORP-SE,1116926.84,67.5,34.58,25.88,0,915917.4,0,0.0,17,65701.58
2024-07,FINCORP-SE,828877.61,51.47,1.43,-2.57,0,465176.81,0,0.0,23,36038.16
2024-08,FINCORP-SE,828132.98,51.69,11.29,6.53,0,538046.82,0,0.0,20,41406.65
2024-09,FINCORP-SE,1005029.5,59.09,25.4,15.95,0,677949.76,0,0.0,20,50251.47
2024-10,FINCORP-SE,1000852.01,72.18,22.5,15.0,0,623051.56,0,0.0,17,58873.65
2024-11,FINCORP-SE,977039.73,72.27,31.69,19.65,0,716691.04,0,0.0,24,40709.99
2024-12,FINCORP-SE,886572.87,72.59,19.09,6.24,0,543453.69,0,0.0,17,52151.35
