period,entity_id,budget_revenue_pln,actual_revenue_pln,revenue_variance_pln,revenue_variance_pct,budget_opex_pln,actual_opex_pln,opex_variance_pln,opex_variance_pct,budget_net_income_pln,actual_net_income_pln,is_budget_overrun
2023-08,FINCORP-PL,3053025.65,3115488.44,62462.79,2.05,896305.48,901952.16,5646.68,0.63,366363.08,362428.5,False
2023-09,FINCORP-PL,4338548.22,4014736.4,-323811.82,-7.46,1782807.01,1784718.89,1911.88,0.11,520625.79,804234.79,False
2023-10,FINCORP-PL,4509133.11,4125108.7,-384024.41,-8.52,1509673.46,1407856.76,-101816.7,-6.74,541095.97,1126458.74,False
2023-11,FINCORP-PL,3372387.64,3772910.32,400522.68,11.88,1746757.48,1658902.74,-87854.74,-5.03,404686.52,683710.5,False
2023-12,FINCORP-PL,3290267.87,3227804.75,-62463.12,-1.9,1622701.2,1514170.36,-108530.84,-6.69,394832.14,332513.71,False
2024-01,FINCORP-PL,2638120.71,2773718.66,135597.95,5.14,1500391.25,1478796.96,-21594.29,-1.44,316574.49,33793.13,False
2024-02,FINCORP-PL,2953795.57,2757686.92,-196108.65,-6.64,1213259.16,1390613.96,177354.8,14.62,354455.47,-203167.29,True
2024-03,FINCORP-PL,3317022.95,3218196.02,-98826.93,-2.98,1972456.41,1927374.32,-45082.09,-2.29,398042.75,251990.0,False
2024-04,FINCORP-PL,3327101.1,3692105.31,365004.21,10.97,1539725.9,1774869.42,235143.52,15.27,399252.13,804963.32,True
2024-05,FINCORP-PL,3298364.17,3717405.38,419041.21,12.7,1435414.88,1349426.24,-85988.64,-5.99,395803.7,471462.22,False
2024-06,FINCORP-PL,4011885.45,3745541.6,-266343.85,-6.64,1819251.94,1883976.37,64724.43,3.56,481426.25,713593.25,False
2024-07,FINCORP-PL,3172801.47,3020365.47,-152436.0,-4.8,1866688.01,2004625.45,137937.44,7.39,380736.18,203563.61,False
2024-08,FINCORP-PL,2893004.96,2980676.12,87671.16,3.03,1521246.73,1758377.1,237130.37,15.59,347160.59,110686.94,True
2024-09,FINCORP-PL,3199766.66,3592771.76,393005.1,12.28,1570189.91,1480560.92,-89628.99,-5.71,383972.0,726338.78,False
2024-10,FINCORP-PL,3989809.29,4112860.88,123051.59,3.08,1591544.75,1871121.9,279577.15,17.57,478777.11,976620.08,True
2024-11,FINCORP-PL,3953898.27,3948426.77,-5471.5,-0.14,1706983.13,2034630.3,327647.17,19.19,474467.79,668406.12,True
2024-12,FINCORP-PL,3814263.98,3620058.56,-194205.42,-5.09,1462771.99,1641843.72,179071.73,12.24,457711.68,419421.86,True
2020-01,FINCORP-DE,1187014.85,1285229.79,98214.94,8.27,544899.57,522278.9,-22620.67,-4.15,142441.78,-321075.91,False
2020-02,FINCORP-DE,1605722.84,1477732.59,-127990.25,-7.97,760211.98,824991.68,64779.7,8.52,192686.74,-173069.3,False
2020-03,FINCORP-DE,923492.69,1055858.81,132366.12,14.33,523889.51,603606.81,79717.3,15.22,110819.12,-459584.98,True
2020-04,FINCORP-DE,927574.75,952577.11,25002.36,2.7,1110752.77,1167848.53,57095.76,5.14,111308.97,-659285.8,False
2020-05,FINCORP-DE,953612.92,1040049.8,86436.88,9.06,655613.68,744514.42,88900.74,13.56,114433.55,-409524.02,True
2020-06,FINCORP-DE,1241270.69,1426376.1,185105.41,14.91,1063452.73,1072644.95,9192.22,0.86,148952.48,-183085.33,False
2020-07,FINCORP-DE,1143341.57,1311587.11,168245.54,14.72,947809.11,992301.29,44492.18,4.69,137200.99,-378936.8,False
2020-08,FINCORP-DE,1069577.79,1144825.78,75247.99,7.04,867297.37,806896.55,-60400.82,-6.96,128349.33,-374098.96,False
2020-09,FINCORP-DE,1628306.05,1503107.3,-125198.75,-7.69,925053.61,1025334.01,100280.4,10.84,195396.73,-89873.76,True
2020-10,FINCORP-DE,1636113.03,1712386.84,76273.81,4.66,1085601.42,1024970.46,-60630.96,-5.59,196333.56,142083.49,False
2020-11,FINCORP-DE,1203765.07,1358739.02,154973.95,12.87,685368.41,760448.38,75079.97,10.95,144451.81,-231016.85,True
2020-12,FINCORP-DE,1348482.35,1327756.9,-20725.45,-1.54,624761.9,701119.02,76357.12,12.22,161817.88,-292826.27,True
2021-01,FINCORP-DE,1601184.49,1743050.68,141866.19,8.86,1261195.64,1288598.93,27403.29,2.17,192142.14,-238439.33,False
2021-02,FINCORP-DE,1534684.73,1763856.01,229171.28,14.93,830860.66,982205.83,151345.17,18.22,184162.17,-155572.83,True
2021-03,FINCORP-DE,2076665.97,2026462.55,-50203.42,-2.42,739370.56,894248.88,154878.32,20.95,249199.92,245628.68,True
2021-04,FINCORP-DE,1974125.51,2123294.09,149168.58,7.56,841068.25,912900.42,71832.17,8.54,236895.06,2100.59,False
2021-05,FINCORP-DE,2299737.86,2425775.73,126037.87,5.48,1253887.17,1313204.75,59317.58,4.73,275968.54,513944.25,False
2021-06,FINCORP-DE,2040117.81,2219719.86,179602.05,8.8,863168.21,904694.89,41526.68,4.81,244814.14,112050.0,False
2021-07,FINCORP-DE,2214016.24,2017751.27,-196264.97,-8.86,780364.98,782138.58,1773.6,0.23,265681.95,168464.94,False
2021-08,FINCORP-DE,1716208.18,1678394.44,-37813.74,-2.2,803667.98,950469.72,146801.74,18.27,205944.98,-54337.73,True
2021-09,FINCORP-DE,2060918.21,2150435.33,89517.12,4.34,960213.23,1012813.55,52600.32,5.48,247310.18,356457.58,False
2021-10,FINCORP-DE,2092470.1,2349170.5,256700.4,12.27,813063.63,924188.51,111124.88,13.67,251096.41,250418.37,True
2021-11,FINCORP-DE,2318527.97,2183350.95,-135177.02,-5.83,815018.71,844440.79,29422.08,3.61,278223.36,241518.99,False
2021-12,FINCORP-DE,1803097.28,1912068.29,108971.01,6.04,897650.38,1014525.11,116874.73,13.02,216371.67,-5715.6,True
2022-01,FINCORP-DE,1763562.54,1826347.89,62785.35,3.56,1090668.34,1206203.89,115535.55,10.59,211627.5,-467827.52,True
2022-02,FINCORP-DE,1990517.78,1821068.5,-169449.28,-8.51,877078.64,836886.6,-40192.04,-4.58,238862.13,-294404.9,False
2022-03,FINCORP-DE,1877499.1,2166865.28,289366.18,15.41,1129327.31,1219036.63,89709.32,7.94,225299.89,-162244.29,False
2022-04,FINCORP-DE,2669200.78,2444652.07,-224548.71,-8.41,974835.03,1136317.26,161482.23,16.57,320304.09,162515.58,True
2022-05,FINCORP-DE,2752842.59,2715014.48,-37828.11,-1.37,1126638.92,1221041.61,94402.69,8.38,330341.11,383355.98,False
2022-06,FINCORP-DE,2211159.3,2536904.84,325745.54,14.73,867486.63,884033.88,16547.25,1.91,265339.12,254959.07,False
2022-07,FINCORP-DE,2088724.52,2016689.6,-72034.92,-3.45,1419199.42,1314402.98,-104796.44,-7.38,250646.94,-185524.12,False
2022-08,FINCORP-DE,2142181.36,2010178.7,-132002.66,-6.16,940784.93,1140270.47,199485.54,21.2,257061.76,-193901.2,True
2022-09,FINCORP-DE,2459302.88,2436802.87,-22500.01,-0.91,1359087.95,1258852.45,-100235.5,-7.38,295116.35,176055.88,False
2022-10,FINCORP-DE,2360117.73,2643454.54,283336.81,12.01,948814.44,982234.03,33419.59,3.52,283214.13,349999.56,False
2022-11,FINCORP-DE,2705712.26,2539497.0,-166215.26,-6.14,1066132.27,1213535.57,147403.3,13.83,324685.47,80269.03,True
2022-12,FINCORP-DE,2339159.94,2261937.55,-77222.39,-3.3,636342.62,636076.66,-265.96,-0.04,280699.19,-37505.14,False
2023-01,FINCORP-DE,1641108.79,1832086.12,190977.33,11.64,1111416.5,1171763.13,60346.63,5.43,196933.06,-334457.51,False
2023-02,FINCORP-DE,1781221.36,1677348.5,-103872.86,-5.83,1028254.69,1234013.64,205758.95,20.01,213746.56,-407813.1,True
2023-03,FINCORP-DE,1661944.81,1955184.36,293239.55,17.64,673191.82,813064.89,139873.07,20.78,199433.38,-85816.63,True
2023-04,FINCORP-DE,2140231.74,2365279.92,225048.18,10.52,1333420.44,1421141.29,87720.85,6.58,256827.81,327904.73,False
2023-05,FINCORP-DE,2117669.93,2171572.89,53902.96,2.55,1172446.13,1326635.33,154189.2,13.15,254120.39,148655.26,True
2023-06,FINCORP-DE,2330380.97,2440161.11,109780.14,4.71,967201.47,1103612.67,136411.2,14.1,279645.72,308294.03,True
2023-07,FINCORP-DE,1931110.07,2095137.48,164027.41,8.49,1367130.89,1615043.83,247912.94,18.13,231733.21,-138764.29,True
2023-08,FINCORP-DE,1803239.84,1928348.01,125108.17,6.94,633800.23,679058.87,45258.64,7.14,216388.78,-84002.7,False
2023-09,FINCORP-DE,2380301.31,2301038.05,-79263.26,-3.33,1574157.44,1488982.64,-85174.8,-5.41,285636.16,167659.38,False
2023-10,FINCORP-DE,2605023.3,2503147.32,-101875.98,-3.91,1223658.44,1302504.21,78845.77,6.44,312602.8,499257.67,False
2023-11,FINCORP-DE,2355249.93,2389419.66,34169.73,1.45,973273.21,1094145.42,120872.21,12.42,282629.99,420146.82,True
2023-12,FINCORP-DE,2301312.07,2175089.53,-126222.54,-5.48,744960.57,806473.22,61512.65,8.26,276157.45,271827.44,False
2024-01,FINCORP-DE,1657725.59,1695361.52,37635.93,2.27,1031464.22,1147611.97,116147.75,11.26,198927.07,-250362.34,True
2024-02,FINCORP-DE,1868927.88,1867891.42,-1036.46,-0.06,1099954.62,1068214.45,-31740.17,-2.89,224271.35,-14857.9,False
2024-03,FINCORP-DE,1831137.83,2046869.62,215731.79,11.78,1066534.73,1039989.29,-26545.44,-2.49,219736.54,42185.04,False
2024-04,FINCORP-DE,2298351.09,2309141.93,10790.84,0.47,935108.78,902079.08,-33029.7,-3.53,275802.13,432740.41,False
2024-05,FINCORP-DE,2121871.3,2147149.67,25278.37,1.19,891295.85,1063832.87,172537.02,19.36,254624.56,254888.56,True
2024-06,FINCORP-DE,2295402.13,2353530.14,58128.01,2.53,856970.94,798418.73,-58552.21,-6.83,275448.26,307646.29,False
2024-07,FINCORP-DE,1891573.55,1852191.38,-39382.17,-2.08,957165.36,999456.1,42290.74,4.42,226988.83,-81752.99,False
2024-08,FINCORP-DE,1723708.16,1827822.26,104114.1,6.04,742391.6,902007.84,159616.24,21.5,206844.98,-900.51,True
2024-09,FINCORP-DE,2296132.24,2190685.81,-105446.43,-4.59,1110343.75,1178880.72,68536.97,6.17,275535.87,165507.54,False
2024-10,FINCORP-DE,2266973.8,2166176.07,-100797.73,-4.45,1081392.4,1075590.87,-5801.53,-0.54,272036.86,231782.79,False
2024-11,FINCORP-DE,2213367.51,2279406.78,66039.27,2.98,716846.39,796805.31,79958.92,11.15,265604.1,362265.08,True
2024-12,FINCORP-DE,2172679.64,2295172.08,122492.44,5.64,1340928.91,1346743.24,5814.33,0.43,260721.56,301080.18,False
2020-01,FINCORP-CZ,693237.01,814553.17,121316.16,17.5,586874.75,562820.4,-24054.35,-4.1,83188.44,-28987.59,False
2020-02,FINCORP-CZ,854395.33,824061.03,-30334.3,-3.55,373292.32,384371.06,11078.74,2.97,102527.44,-68470.03,False
2020-03,FINCORP-CZ,547445.6,607408.45,59962.85,10.95,473355.17,561422.48,88067.31,18.6,65693.47,-324596.08,True
2020-04,FINCORP-CZ,471337.53,536888.29,65550.76,13.91,483304.1,461842.79,-21461.31,-4.44,56560.5,-318970.12,False
2020-05,FINCORP-CZ,552198.13,618137.25,65939.12,11.94,325040.54,393702.58,68662.04,21.12,66263.78,-269066.57,True
2020-06,FINCORP-CZ,686969.84,728756.41,41786.57,6.08,511048.24,504618.34,-6429.9,-1.26,82436.38,-114762.06,False
2020-07,FINCORP-CZ,567975.43,642120.49,74145.06,13.05,453033.32,466855.2,13821.88,3.05,68157.05,-243311.3,False
2020-08,FINCORP-CZ,624350.99,673897.82,49546.83,7.94,641566.84,630233.94,-11332.9,-1.77,74922.12,-243159.03,False
2020-09,FINCORP-CZ,959916.92,914696.36,-45220.56,-4.71,557820.65,626792.49,68971.84,12.36,115190.03,48632.55,True
2020-10,FINCORP-CZ,832594.52,978652.71,146058.19,17.54,393926.12,391235.91,-2690.21,-0.68,99911.34,46493.97,False
2020-11,FINCORP-CZ,810432.81,752846.7,-57586.11,-7.11,517234.23,525733.09,8498.86,1.64,97251.94,-193465.4,False
2020-12,FINCORP-CZ,706085.95,682354.87,-23731.08,-3.36,403252.36,441928.86,38676.5,9.59,84730.31,-254920.04,False
2021-01,FINCORP-CZ,899746.34,990797.06,91050.72,10.12,690088.86,686302.02,-3786.84,-0.55,107969.56,-12037.7,False
2021-02,FINCORP-CZ,982218.87,989613.78,7394.91,0.75,528730.39,581961.94,53231.55,10.07,117866.26,-34521.77,True
2021-03,FINCORP-CZ,1050302.27,1098657.43,48355.16,4.6,555022.14,536824.88,-18197.26,-3.28,126036.27,46391.41,False
2021-04,FINCORP-CZ,1183736.61,1125238.29,-58498.32,-4.94,586972.17,578777.58,-8194.59,-1.4,142048.39,103756.37,False
2021-05,FINCORP-CZ,1250840.18,1303503.99,52663.81,4.21,621345.55,575658.22,-45687.33,-7.35,150100.82,314653.81,False
2021-06,FINCORP-CZ,1284462.25,1173011.66,-111450.59,-8.68,589039.48,566154.07,-22885.41,-3.89,154135.47,98341.65,False
2021-07,FINCORP-CZ,961507.11,942571.24,-18935.87,-1.97,640901.13,675060.42,34159.29,5.33,115380.85,-174545.16,False
2021-08,FINCORP-CZ,1007997.32,1038828.32,30831.0,3.06,667837.21,629008.22,-38828.99,-5.81,120959.68,21772.85,False
2021-09,FINCORP-CZ,1042466.57,1209022.5,166555.93,15.98,543901.61,536560.18,-7341.43,-1.35,125095.99,203734.35,False
2021-10,FINCORP-CZ,1186663.69,1209148.43,22484.74,1.89,540138.13,627935.23,87797.1,16.25,142399.64,100596.85,True
2021-11,FINCORP-CZ,1304219.96,1328066.21,23846.25,1.83,404030.26,457592.44,53562.18,13.26,156506.39,170095.26,True
2021-12,FINCORP-CZ,999142.97,1088143.42,89000.45,8.91,431703.96,471050.8,39346.84,9.11,119897.16,-93482.46,False
2022-01,FINCORP-CZ,990567.51,977073.48,-13494.03,-1.36,825586.96,811160.54,-14426.42,-1.75,118868.1,-373208.04,False
2022-02,FINCORP-CZ,1075663.64,1074856.63,-807.01,-0.08,752101.15,768372.77,16271.62,2.16,129079.64,-208228.46,False
2022-03,FINCORP-CZ,1314836.72,1356082.99,41246.27,3.14,408999.27,402399.54,-6599.73,-1.61,157780.41,93029.59,False
2022-04,FINCORP-CZ,1383148.31,1294666.48,-88481.83,-6.4,751587.17,857165.8,105578.63,14.05,165977.8,-24909.96,True
2022-05,FINCORP-CZ,1448384.49,1434167.66,-14216.83,-0.98,546894.41,619024.33,72129.92,13.19,173806.14,185921.1,True
2022-06,FINCORP-CZ,1467126.41,1462442.36,-4684.05,-0.32,723782.12,704614.69,-19167.43,-2.65,176055.17,232279.01,False
2022-07,FINCORP-CZ,1107632.62,1134441.54,26808.92,2.42,460771.4,686742.05,225970.65,49.04,132915.91,-267052.06,True
2022-08,FINCORP-CZ,1283035.84,1216454.18,-66581.66,-5.19,479528.26,667436.88,187908.62,39.19,153964.3,-136424.72,True
2022-09,FINCORP-CZ,1467717.83,1425065.2,-42652.63,-2.91,588026.08,887088.37,299062.29,50.86,176126.14,-103819.65,True
2022-10,FINCORP-CZ,1287048.89,1310199.86,23150.97,1.8,689265.45,696107.81,6842.36,0.99,154445.87,24352.48,False
2022-11,FINCORP-CZ,1290503.41,1465332.05,174828.64,13.55,892679.61,926330.5,33650.89,3.77,154860.41,137788.81,False
2022-12,FINCORP-CZ,1211338.17,1224412.54,13074.37,1.08,698164.42,781975.54,83811.12,12.0,145360.58,-192821.05,True
2023-01,FINCORP-CZ,1142861.47,1046872.61,-95988.86,-8.4,780154.45,740640.56,-39513.89,-5.06,137143.38,58178.96,False
2023-02,FINCORP-CZ,1169272.4,1063490.8,-105781.6,-9.05,538337.51,544123.77,5786.26,1.07,140312.69,-117882.22,False
2023-03,FINCORP-CZ,1296493.33,1251810.61,-44682.72,-3.45,733603.26,722664.59,-10938.67,-1.49,155579.2,76070.8,False
2023-04,FINCORP-CZ,1073100.09,1248827.24,175727.15,16.38,476457.18,547746.31,71289.13,14.96,128772.01,149043.51,True
2023-05,FINCORP-CZ,1373104.99,1361201.33,-11903.66,-0.87,563008.04,652226.45,89218.41,15.85,164772.6,197936.03,True
2023-06,FINCORP-CZ,1343453.87,1332854.77,-10599.1,-0.79,643345.4,631512.65,-11832.75,-1.84,161214.46,237087.88,False
2023-07,FINCORP-CZ,1154046.14,1170604.32,16558.18,1.43,567774.31,596105.39,28331.08,4.99,138485.54,113714.47,False
2023-08,FINCORP-CZ,1111245.56,1075549.48,-35696.08,-3.21,571300.58,579163.52,7862.94,1.38,133349.47,-103185.91,False
2023-09,FINCORP-CZ,1054075.51,1199856.17,145780.66,13.83,518563.03,561789.68,43226.65,8.34,126489.06,49625.51,False
2023-10,FINCORP-CZ,1194787.46,1395345.49,200558.03,16.79,625778.31,749361.88,123583.57,19.75,143374.5,258610.64,True
2023-11,FINCORP-CZ,1237941.75,1354551.15,116609.4,9.42,597841.98,709888.04,112046.06,18.74,148553.01,285051.09,True
2023-12,FINCORP-CZ,1114323.26,1171776.89,57453.63,5.16,665263.2,733794.03,68530.83,10.3,133718.79,51929.47,True
2024-01,FINCORP-CZ,1031468.85,952954.69,-78514.16,-7.61,554537.12,661409.54,106872.42,19.27,123776.26,-101773.38,True
2024-02,FINCORP-CZ,801075.13,895929.5,94854.37,11.84,597641.2,708325.87,110684.67,18.52,96129.02,-37955.87,True
2024-03,FINCORP-CZ,1046395.37,1001338.63,-45056.74,-4.31,636334.12,713716.55,77382.43,12.16,125567.44,-98203.38,True
2024-04,FINCORP-CZ,988825.63,1143973.08,155147.45,15.69,551195.92,563940.29,12744.37,2.31,118659.08,71228.87,False
2024-05,FINCORP-CZ,1166861.0,1313305.36,146444.36,12.55,445038.04,498418.19,53380.15,11.99,140023.32,315365.68,True
2024-06,FINCORP-CZ,1371766.63,1440808.11,69041.48,5.03,743207.75,811456.28,68248.53,9.18,164612.0,180573.85,False
2024-07,FINCORP-CZ,939955.13,1048735.22,108780.09,11.57,581422.23,550029.79,-31392.44,-5.4,112794.62,-110583.92,False
2024-08,FINCORP-CZ,896271.53,1037177.86,140906.33,15.72,625221.25,641306.1,16084.85,2.57,107552.58,4694.47,False
2024-09,FINCORP-CZ,1195702.15,1240062.95,44360.8,3.71,426573.02,517084.7,90511.68,21.22,143484.26,185058.24,True
2024-10,FINCORP-CZ,1393710.02,1325279.99,-68430.03,-4.91,573692.41,610283.26,36590.85,6.38,167245.2,191938.56,False
2024-11,FINCORP-CZ,1177156.19,1234786.56,57630.37,4.9,453707.09,470268.55,16561.46,3.65,141258.74,235599.12,False
2024-12,FINCORP-CZ,1258327.1,1224052.37,-34274.73,-2.72,621804.62,692678.81,70874.19,11.4,150999.25,17037.63,True
2020-01,FINCORP-SE,556177.82,573061.57,16883.75,3.04,333510.73,354241.42,20730.69,6.22,66741.34,-148739.65,False
2020-02,FINCORP-SE,567972.75,655174.81,87202.06,15.35,291239.13,315976.61,24737.48,8.49,68156.73,-21310.47,False
2020-03,FINCORP-SE,439878.41,468094.84,28216.43,6.41,454584.0,488704.86,34120.86,7.51,52785.41,-264595.48,False
2020-04,FINCORP-SE,370117.94,403974.03,33856.09,9.15,306881.51,316978.25,10096.74,3.29,44414.15,-277284.22,False
2020-05,FINCORP-SE,506574.66,465856.42,-40718.24,-8.04,419980.21,451242.93,31262.72,7.44,60788.96,-213263.18,False
2020-06,FINCORP-SE,568169.52,572675.35,4505.83,0.79,491060.78,479773.68,-11287.1,-2.3,68180.34,-128389.74,False
2020-07,FINCORP-SE,487549.77,518456.12,30906.35,6.34,394239.68,438024.22,43784.54,11.11,58505.97,-162556.77,True
2020-08,FINCORP-SE,431131.19,468540.65,37409.46,8.68,305027.22,336616.91,31589.69,10.36,51735.74,-170865.25,True
2020-09,FINCORP-SE,626304.76,704142.01,77837.25,12.43,396867.71,391633.49,-5234.22,-1.32,75156.57,12639.78,False
2020-10,FINCORP-SE,694395.98,733275.39,38879.41,5.6,405955.67,380959.54,-24996.13,-6.16,83327.52,-6894.53,False
2020-11,FINCORP-SE,573157.1,630642.6,57485.5,10.03,378137.27,363373.65,-14763.62,-3.9,68778.85,-63040.88,False
2020-12,FINCORP-SE,588187.99,536677.53,-51510.46,-8.76,454167.14,504719.74,50552.6,11.13,70582.56,-233591.03,True
2021-01,FINCORP-SE,681813.01,699636.65,17823.64,2.61,348611.91,356191.07,7579.16,2.17,81817.56,-42507.57,False
2021-02,FINCORP-SE,690241.04,786896.18,96655.14,14.0,398009.61,423190.26,25180.65,6.33,82828.93,-25090.1,False
2021-03,FINCORP-SE,806760.22,772032.6,-34727.62,-4.3,451814.93,429836.5,-21978.43,-4.86,96811.23,-20301.81,False
2021-04,FINCORP-SE,862101.27,876003.19,13901.92,1.61,329593.33,338496.74,8903.41,2.7,103452.15,139245.38,False
2021-05,FINCORP-SE,948033.81,999652.25,51618.44,5.44,283692.49,276768.69,-6923.8,-2.44,113764.06,166353.95,False
2021-06,FINCORP-SE,977910.28,982745.22,4834.94,0.49,512677.9,477164.44,-35513.46,-6.93,117349.23,195944.53,False
2021-07,FINCORP-SE,708459.2,778907.89,70448.69,9.94,393708.13,399592.41,5884.28,1.49,85015.1,-75901.16,False
2021-08,FINCORP-SE,731893.47,755980.31,24086.84,3.29,479682.89,474344.74,-5338.15,-1.11,87827.22,-96954.86,False
