period,entity_id,revenue_pln,cogs_pln,gross_profit_pln,gross_margin_pct,opex_pln,ebitda_pln,ebitda_margin_pct,ebit_pln,financial_costs_pln,ebt_pln,tax_pln,net_income_pln,net_margin_pct,transaction_count
2022-09,FINCORP-PL,3819175.68,1733867.74,2085307.94,54.6,1683389.41,401918.53,10.52,267247.38,0.0,267247.38,50777.0,216470.38,5.67,57
2022-10,FINCORP-PL,4193817.73,1156825.33,3036992.4,72.42,1787372.19,1249620.21,29.8,1106630.43,82720.13,1023910.3,194542.96,829367.35,19.78,41
2022-11,FINCORP-PL,4285390.6,1160776.14,3124614.46,72.91,1627537.68,1497076.78,34.93,1366873.77,148299.68,1218574.09,231529.08,987045.01,23.03,42
2022-12,FINCORP-PL,4015983.06,1493063.66,2522919.4,62.82,1587605.2,935314.2,23.29,808305.78,235338.46,572967.32,108863.79,464103.53,11.56,48
2023-01,FINCORP-PL,2491337.13,814756.91,1676580.22,67.3,1717832.92,-41252.7,-1.66,-178679.33,112928.65,-291607.98,0.0,-291607.98,-11.7,48
2023-02,FINCORP-PL,3016403.65,1189143.66,1827259.99,60.58,1640712.99,186547.0,6.18,55289.96,162265.05,-106975.09,0.0,-106975.09,-3.55,40
2023-03,FINCORP-PL,3460019.0,1014232.75,2445786.25,70.69,1308540.24,1137246.01,32.87,1032562.79,449256.62,583306.17,110828.17,472478.0,13.66,52
2023-04,FINCORP-PL,3939929.98,1122510.89,2817419.09,71.51,1508333.6,1309085.49,33.23,1188418.8,244353.09,944065.71,179372.49,764693.23,19.41,47
2023-05,FINCORP-PL,3728541.34,1126959.67,2601581.67,69.77,1458027.93,1143553.74,30.67,1026911.51,78389.17,948522.34,180219.24,768303.09,20.61,51
2023-06,FINCORP-PL,4137306.15,1721512.52,2415793.63,58.39,791311.59,1624482.04,39.26,1561177.11,271441.32,1289735.79,245049.8,1044685.99,25.25,49
2023-07,FINCORP-PL,3390362.42,1697979.4,1692383.02,49.92,1243810.59,448572.43,13.23,349067.58,109704.44,239363.14,45479.0,193884.15,5.72,49
2023-08,FINCORP-PL,3115488.44,1281314.23,1834174.21,58.87,901952.16,932222.05,29.92,860065.88,412623.29,447442.59,85014.09,362428.5,11.63,39
2023-09,FINCORP-PL,4014736.4,1094357.54,2920378.86,72.74,1784718.89,1135659.97,28.29,992882.46,0.0,992882.46,188647.67,804234.79,20.03,41
2023-10,FINCORP-PL,4125108.7,1019282.35,3105826.35,75.29,1407856.76,1697969.59,41.16,1585341.05,194651.25,1390689.8,264231.06,1126458.74,27.31,54
2023-11,FINCORP-PL,3772910.32,950068.11,2822842.21,74.82,1658902.74,1163939.47,30.85,1031227.25,187140.21,844087.04,160376.54,683710.5,18.12,49
2023-12,FINCORP-PL,3227804.75,1118384.15,2109420.6,65.35,1514170.36,595250.24,18.44,474116.61,63605.86,410510.75,77997.04,332513.71,10.3,54
2024-01,FINCORP-PL,2773718.66,1134898.03,1638820.63,59.08,1478796.96,160023.67,5.77,41719.91,0.0,41719.91,7926.78,33793.13,1.22,49
2024-02,FINCORP-PL,2757686.92,1364932.34,1392754.58,50.5,1390613.96,2140.62,0.08,-109108.5,94058.79,-203167.29,0.0,-203167.29,-7.37,46
2024-03,FINCORP-PL,3218196.02,752274.39,2465921.63,76.62,1927374.32,538547.31,16.73,384357.36,73258.6,311098.76,59108.77,251990.0,7.83,49
2024-04,FINCORP-PL,3692105.31,579733.86,3112371.45,84.3,1774869.42,1337502.03,36.23,1195512.48,201730.6,993781.88,188818.56,804963.32,21.8,51
2024-05,FINCORP-PL,3717405.38,1526971.16,2190434.22,58.92,1349426.24,841007.98,22.62,733053.88,151001.76,582052.12,110589.9,471462.22,12.68,43
2024-06,FINCORP-PL,3745541.6,604743.29,3140798.31,83.85,1883976.37,1256821.94,33.56,1106103.83,225124.51,880979.32,167386.07,713593.25,19.05,43
2024-07,FINCORP-PL,3020365.47,522796.95,2497568.52,82.69,2004625.45,492943.07,16.32,332573.03,81259.93,251313.1,47749.49,203563.61,6.74,54
2024-08,FINCORP-PL,2980676.12,944978.31,2035697.81,68.3,1758377.1,277320.71,9.3,136650.54,0.0,136650.54,25963.6,110686.94,3.71,54
2024-09,FINCORP-PL,3592771.76,983458.44,2609313.32,72.63,1480560.92,1128752.4,31.42,1010307.53,113592.98,896714.55,170375.76,726338.78,20.22,52
2024-10,FINCORP-PL,4112860.88,886345.43,3226515.45,78.45,1871121.9,1355393.55,32.96,1205703.8,0.0,1205703.8,229083.72,976620.08,23.75,50
2024-11,FINCORP-PL,3948426.77,642228.18,3306198.59,83.73,2034630.3,1271568.29,32.2,1108797.87,283605.13,825192.74,156786.62,668406.12,16.93,45
2024-12,FINCORP-PL,3620058.56,883864.52,2736194.04,75.58,1641843.72,1094350.32,30.23,963002.82,445198.06,517804.76,98382.9,419421.86,11.59,43
2020-01,FINCORP-DE,1285229.79,777383.16,507846.63,39.51,522278.9,-14432.27,-1.12,-56214.58,264861.33,-321075.91,0.0,-321075.91,-24.98,42
2020-02,FINCORP-DE,1477732.59,730535.45,747197.14,50.56,824991.68,-77794.54,-5.26,-143793.87,29275.43,-173069.3,0.0,-173069.3,-11.71,47
2020-03,FINCORP-DE,1055858.81,760409.9,295448.91,27.98,603606.81,-308157.9,-29.19,-356446.44,103138.54,-459584.98,0.0,-459584.98,-43.53,42
2020-04,FINCORP-DE,952577.11,212809.3,739767.81,77.66,1167848.53,-428080.72,-44.94,-521508.6,137777.2,-659285.8,0.0,-659285.8,-69.21,36
2020-05,FINCORP-DE,1040049.8,645498.25,394551.55,37.94,744514.42,-349962.87,-33.65,-409524.02,0.0,-409524.02,0.0,-409524.02,-39.38,55
2020-06,FINCORP-DE,1426376.1,361974.99,1064401.11,74.62,1072644.95,-8243.84,-0.58,-94055.44,89029.89,-183085.33,0.0,-183085.33,-12.84,51
2020-07,FINCORP-DE,1311587.11,560910.54,750676.57,57.23,992301.29,-241624.72,-18.42,-321008.82,57927.98,-378936.8,0.0,-378936.8,-28.89,51
2020-08,FINCORP-DE,1144825.78,647476.47,497349.31,43.44,806896.55,-309547.24,-27.04,-374098.96,0.0,-374098.96,0.0,-374098.96,-32.68,55
2020-09,FINCORP-DE,1503107.3,485620.33,1017486.97,67.69,1025334.01,-7847.04,-0.52,-89873.76,0.0,-89873.76,0.0,-89873.76,-5.98,41
2020-10,FINCORP-DE,1712386.84,430007.03,1282379.81,74.89,1024970.46,257409.35,15.03,175411.71,0.0,175411.71,33328.23,142083.49,8.3,45
2020-11,FINCORP-DE,1358739.02,667397.53,691341.49,50.88,760448.38,-69106.89,-5.09,-129942.76,101074.09,-231016.85,0.0,-231016.85,-17.0,53
2020-12,FINCORP-DE,1327756.9,789480.14,538276.76,40.54,701119.02,-162842.26,-12.26,-218931.78,73894.49,-292826.27,0.0,-292826.27,-22.05,49
2021-01,FINCORP-DE,1743050.68,589803.17,1153247.51,66.16,1288598.93,-135351.42,-7.77,-238439.33,0.0,-238439.33,0.0,-238439.33,-13.68,42
2021-02,FINCORP-DE,1763856.01,781116.68,982739.33,55.72,982205.83,533.5,0.03,-78042.97,77529.86,-155572.83,0.0,-155572.83,-8.82,50
2021-03,FINCORP-DE,2026462.55,616761.59,1409700.96,69.56,894248.88,515452.08,25.44,443912.17,140666.88,303245.29,57616.61,245628.68,12.12,48
2021-04,FINCORP-DE,2123294.09,1134768.31,988525.78,46.56,912900.42,75625.36,3.56,2593.33,0.0,2593.33,492.73,2100.59,0.1,50
2021-05,FINCORP-DE,2425775.73,373015.53,2052760.2,84.62,1313204.75,739555.45,30.49,634499.07,0.0,634499.07,120554.82,513944.25,21.19,35
2021-06,FINCORP-DE,2219719.86,1104316.05,1115403.81,50.25,904694.89,210708.92,9.49,138333.33,0.0,138333.33,26283.33,112050.0,5.05,39
2021-07,FINCORP-DE,2017751.27,965060.2,1052691.07,52.17,782138.58,270552.49,13.41,207981.4,0.0,207981.4,39516.47,168464.94,8.35,41
2021-08,FINCORP-DE,1678394.44,706224.87,972169.57,57.92,950469.72,21699.85,1.29,-54337.73,0.0,-54337.73,0.0,-54337.73,-3.24,45
2021-09,FINCORP-DE,2150435.33,525353.29,1625082.04,75.57,1012813.55,612268.49,28.47,531243.41,91172.32,440071.09,83613.51,356457.58,16.58,41
2021-10,FINCORP-DE,2349170.5,1004007.29,1345163.21,57.26,924188.51,420974.7,17.92,347039.62,37881.14,309158.48,58740.11,250418.37,10.66,57
2021-11,FINCORP-DE,2183350.95,973183.31,1210167.64,55.43,844440.79,365726.85,16.75,298171.59,0.0,298171.59,56652.6,241518.99,11.06,44
2021-12,FINCORP-DE,1912068.29,822096.77,1089971.52,57.0,1014525.11,75446.41,3.95,-5715.6,0.0,-5715.6,0.0,-5715.6,-0.3,38
2022-01,FINCORP-DE,1826347.89,952600.18,873747.71,47.84,1206203.89,-332456.18,-18.2,-428952.49,38875.03,-467827.52,0.0,-467827.52,-25.62,54
2022-02,FINCORP-DE,1821068.5,1077878.85,743189.65,40.81,836886.6,-93696.95,-5.15,-160647.88,133757.02,-294404.9,0.0,-294404.9,-16.17,46
2022-03,FINCORP-DE,2166865.28,915613.42,1251251.86,57.74,1219036.63,32215.23,1.49,-65307.7,96936.59,-162244.29,0.0,-162244.29,-7.49,49
2022-04,FINCORP-DE,2444652.07,1016792.91,1427859.16,58.41,1136317.26,291541.9,11.93,200636.52,0.0,200636.52,38120.94,162515.58,6.65,47
2022-05,FINCORP-DE,2715014.48,819038.44,1895976.04,69.83,1221041.61,674934.43,24.86,577251.1,103972.11,473278.99,89923.01,383355.98,14.12,47
2022-06,FINCORP-DE,2536904.84,1267383.97,1269520.87,50.04,884033.88,385486.99,15.2,314764.28,0.0,314764.28,59805.21,254959.07,10.05,46
2022-07,FINCORP-DE,2016689.6,532028.82,1484660.78,73.62,1314402.98,170257.8,8.44,65105.56,250629.68,-185524.12,0.0,-185524.12,-9.2,46
2022-08,FINCORP-DE,2010178.7,972587.79,1037590.91,51.62,1140270.47,-102679.56,-5.11,-193901.2,0.0,-193901.2,0.0,-193901.2,-9.65,38
2022-09,FINCORP-DE,2436802.87,810208.7,1626594.17,66.75,1258852.45,367741.72,15.09,267033.52,49680.59,217352.93,41297.06,176055.88,7.22,53
2022-10,FINCORP-DE,2643454.54,976125.97,1667328.57,63.07,982234.03,685094.54,25.92,606515.82,174417.59,432098.23,82098.66,349999.56,13.24,45
2022-11,FINCORP-DE,2539497.0,1129781.02,1409715.98,55.51,1213535.57,196180.41,7.73,99097.56,0.0,99097.56,18828.54,80269.03,3.16,46
2022-12,FINCORP-DE,2261937.55,1612479.9,649457.65,28.71,636076.66,13380.99,0.59,-37505.14,0.0,-37505.14,0.0,-37505.14,-1.66,50
2023-01,FINCORP-DE,1832086.12,722804.59,1109281.53,60.55,1171763.13,-62481.6,-3.41,-156222.65,178234.86,-334457.51,0.0,-334457.51,-18.26,49
2023-02,FINCORP-DE,1677348.5,681173.1,996175.4,59.39,1234013.64,-237838.24,-14.18,-336559.33,71253.77,-407813.1,0.0,-407813.1,-24.31,52
2023-03,FINCORP-DE,1955184.36,1162890.91,792293.45,40.52,813064.89,-20771.44,-1.06,-85816.63,0.0,-85816.63,0.0,-85816.63,-4.39,46
2023-04,FINCORP-DE,2365279.92,371290.75,1993989.17,84.3,1421141.29,572847.88,24.22,459156.58,54335.92,404820.66,76915.92,327904.73,13.86,54
2023-05,FINCORP-DE,2171572.89,555281.72,1616291.17,74.43,1326635.33,289655.84,13.34,183525.01,0.0,183525.01,34869.75,148655.26,6.85,41
2023-06,FINCORP-DE,2440161.11,765759.16,1674401.95,68.62,1103612.67,570789.28,23.39,482500.27,101890.35,380609.92,72315.88,308294.03,12.63,41
2023-07,FINCORP-DE,2095137.48,489654.43,1605483.05,76.63,1615043.83,-9560.78,-0.46,-138764.29,0.0,-138764.29,0.0,-138764.29,-6.62,40
2023-08,FINCORP-DE,1928348.01,851893.99,1076454.02,55.82,679058.87,397395.15,20.61,343070.44,427073.14,-84002.7,0.0,-84002.7,-4.36,54
2023-09,FINCORP-DE,2301038.05,485949.91,1815088.14,78.88,1488982.64,326105.5,14.17,206986.89,0.0,206986.89,39327.51,167659.38,7.29,49
2023-10,FINCORP-DE,2503147.32,414504.57,2088642.75,83.44,1302504.21,786138.54,31.41,681938.2,65570.71,616367.49,117109.82,499257.67,19.95,48
2023-11,FINCORP-DE,2389419.66,689042.83,1700376.83,71.16,1094145.42,606231.41,25.37,518699.78,0.0,518699.78,98552.96,420146.82,17.58,47
2023-12,FINCORP-DE,2175089.53,968509.02,1206580.51,55.47,806473.22,400107.29,18.39,335589.43,0.0,335589.43,63761.99,271827.44,12.5,51
2024-01,FINCORP-DE,1695361.52,606283.9,1089077.62,64.24,1147611.97,-58534.35,-3.45,-150343.31,100019.03,-250362.34,0.0,-250362.34,-14.77,48
2024-02,FINCORP-DE,1867891.42,632625.29,1235266.13,66.13,1068214.45,167051.68,8.94,81594.52,96452.42,-14857.9,0.0,-14857.9,-0.8,56
2024-03,FINCORP-DE,2046869.62,871600.89,1175268.73,57.42,1039989.29,135279.44,6.61,52080.3,0.0,52080.3,9895.26,42185.04,2.06,38
2024-04,FINCORP-DE,2309141.93,665420.64,1643721.29,71.18,902079.08,741642.21,32.12,669475.88,135228.46,534247.42,101507.01,432740.41,18.74,55
2024-05,FINCORP-DE,2147149.67,594504.83,1552644.84,72.31,1063832.87,488811.97,22.77,403705.34,89028.1,314677.24,59788.68,254888.56,11.87,48
2024-06,FINCORP-DE,2353530.14,971063.09,1382467.05,58.74,798418.73,584048.32,24.82,520174.82,140364.59,379810.23,72163.94,307646.29,13.07,45
2024-07,FINCORP-DE,1852191.38,772297.25,1079894.13,58.3,999456.1,80438.03,4.34,481.54,82234.53,-81752.99,0.0,-81752.99,-4.41,47
2024-08,FINCORP-DE,1827822.26,724386.62,1103435.64,60.37,902007.84,201427.8,11.02,129267.17,130167.68,-900.51,0.0,-900.51,-0.05,52
2024-09,FINCORP-DE,2190685.81,642644.74,1548041.07,70.66,1178880.72,369160.35,16.85,274849.89,70519.59,204330.3,38822.76,165507.54,7.56,55
2024-10,FINCORP-DE,2166176.07,718386.34,1447789.73,66.84,1075590.87,372198.86,17.18,286151.59,0.0,286151.59,54368.8,231782.79,10.7,48
2024-11,FINCORP-DE,2279406.78,971616.21,1307790.57,57.37,796805.31,510985.26,22.42,447240.84,0.0,447240.84,84975.76,362265.08,15.89,51
2024-12,FINCORP-DE,2295172.08,429692.75,1865479.33,81.28,1346743.24,518736.09,22.6,410996.63,39292.7,371703.93,70623.75,301080.18,13.12,49
2020-01,FINCORP-CZ,814553.17,198677.91,615875.26,75.61,562820.4,53054.86,6.51,8029.23,37016.82,-28987.59,0.0,-28987.59,-3.56,43
2020-02,FINCORP-CZ,824061.03,435779.64,388281.39,47.12,384371.06,3910.33,0.47,-26839.35,41630.68,-68470.03,0.0,-68470.03,-8.31,49
2020-03,FINCORP-CZ,607408.45,263844.3,343564.15,56.56,561422.48,-217858.33,-35.87,-262772.13,61823.95,-324596.08,0.0,-324596.08,-53.44,51
2020-04,FINCORP-CZ,536888.29,357068.2,179820.09,33.49,461842.79,-282022.7,-52.53,-318970.12,0.0,-318970.12,0.0,-318970.12,-59.41,51
2020-05,FINCORP-CZ,618137.25,462005.03,156132.22,25.26,393702.58,-237570.36,-38.43,-269066.57,0.0,-269066.57,0.0,-269066.57,-43.53,51
2020-06,FINCORP-CZ,728756.41,270099.68,458656.73,62.94,504618.34,-45961.61,-6.31,-86331.08,28430.98,-114762.06,0.0,-114762.06,-15.75,40
2020-07,FINCORP-CZ,642120.49,350452.05,291668.44,45.42,466855.2,-175186.76,-27.28,-212535.18,30776.12,-243311.3,0.0,-243311.3,-37.89,55
2020-08,FINCORP-CZ,673897.82,205388.28,468509.54,69.52,630233.94,-161724.4,-24.0,-212143.12,31015.91,-243159.03,0.0,-243159.03,-36.08,51
2020-09,FINCORP-CZ,914696.36,177720.28,736976.08,80.57,626792.49,110183.59,12.05,60040.19,0.0,60040.19,11407.64,48632.55,5.32,53
2020-10,FINCORP-CZ,978652.71,420373.15,558279.56,57.05,391235.91,167043.65,17.07,135744.78,78344.82,57399.96,10905.99,46493.97,4.75,54
2020-11,FINCORP-CZ,752846.7,356974.68,395872.02,52.58,525733.09,-129861.07,-17.25,-171919.72,21545.68,-193465.4,0.0,-193465.4,-25.7,50
2020-12,FINCORP-CZ,682354.87,459991.74,222363.13,32.59,441928.86,-219565.73,-32.18,-254920.04,0.0,-254920.04,0.0,-254920.04,-37.36,49
2021-01,FINCORP-CZ,990797.06,235585.09,755211.97,76.22,686302.02,68909.95,6.96,14005.79,26043.49,-12037.7,0.0,-12037.7,-1.21,56
2021-02,FINCORP-CZ,989613.78,370564.63,619049.15,62.55,581961.94,37087.21,3.75,-9469.75,25052.02,-34521.77,0.0,-34521.77,-3.49,52
2021-03,FINCORP-CZ,1098657.43,413592.29,685065.14,62.35,536824.88,148240.26,13.49,105294.27,48020.93,57273.34,10881.93,46391.41,4.22,44
2021-04,FINCORP-CZ,1125238.29,372064.22,753174.07,66.93,578777.58,174396.49,15.5,128094.28,0.0,128094.28,24337.91,103756.37,9.22,46
2021-05,FINCORP-CZ,1303503.99,276255.44,1027248.55,78.81,575658.22,451590.33,34.64,405537.67,17076.18,388461.49,73807.68,314653.81,24.14,48
2021-06,FINCORP-CZ,1173011.66,440155.82,732855.84,62.48,566154.07,166701.77,14.21,121409.44,0.0,121409.44,23067.79,98341.65,8.38,52
2021-07,FINCORP-CZ,942571.24,298509.93,644061.31,68.33,675060.42,-30999.11,-3.29,-85003.94,89541.22,-174545.16,0.0,-174545.16,-18.52,39
2021-08,FINCORP-CZ,1038828.32,295369.78,743458.54,71.57,629008.22,114450.32,11.02,64129.66,37249.6,26880.06,5107.21,21772.85,2.1,56
2021-09,FINCORP-CZ,1209022.5,232928.29,976094.21,80.73,536560.18,439534.03,36.35,396609.22,145085.33,251523.89,47789.54,203734.35,16.85,56
2021-10,FINCORP-CZ,1209148.43,334283.38,874865.05,72.35,627935.23,246929.82,20.42,196695.0,72501.36,124193.64,23596.79,100596.85,8.32,49
2021-11,FINCORP-CZ,1328066.21,566196.86,761869.35,57.37,457592.44,304276.91,22.91,267669.51,57675.37,209994.14,39898.89,170095.26,12.81,53
2021-12,FINCORP-CZ,1088143.42,614548.31,473595.11,43.52,471050.8,2544.31,0.23,-35139.75,58342.71,-93482.46,0.0,-93482.46,-8.59,45
2022-01,FINCORP-CZ,977073.48,376034.58,601038.9,61.51,811160.54,-210121.64,-21.51,-275014.48,98193.56,-373208.04,0.0,-373208.04,-38.2,44
2022-02,FINCORP-CZ,1074856.63,402627.81,672228.82,62.54,768372.77,-96143.95,-8.94,-157613.77,50614.69,-208228.46,0.0,-208228.46,-19.37,48
2022-03,FINCORP-CZ,1356082.99,705936.94,650146.05,47.94,402399.54,247746.51,18.27,215554.55,100703.2,114851.35,21821.76,93029.59,6.86,52
2022-04,FINCORP-CZ,1294666.48,313066.04,981600.44,75.82,857165.8,124434.64,9.61,55861.38,80771.34,-24909.96,0.0,-24909.96,-1.92,51
2022-05,FINCORP-CZ,1434167.66,499283.37,934884.29,65.19,619024.33,315859.96,22.02,266338.01,36805.79,229532.22,43611.12,185921.1,12.96,45
2022-06,FINCORP-CZ,1462442.36,414694.28,1047748.08,71.64,704614.69,343133.39,23.46,286764.21,0.0,286764.21,54485.2,232279.01,15.88,41
2022-07,FINCORP-CZ,1134441.54,614099.76,520341.78,45.87,686742.05,-166400.27,-14.67,-221339.63,45712.43,-267052.06,0.0,-267052.06,-23.54,53
2022-08,FINCORP-CZ,1216454.18,603180.1,613274.08,50.41,667436.88,-54162.8,-4.45,-107557.75,28866.97,-136424.72,0.0,-136424.72,-11.21,54
2022-09,FINCORP-CZ,1425065.2,434741.15,990324.05,69.49,887088.37,103235.68,7.24,32268.61,136088.26,-103819.65,0.0,-103819.65,-7.29,42
2022-10,FINCORP-CZ,1310199.86,528338.64,781861.22,59.67,696107.81,85753.41,6.55,30064.79,0.0,30064.79,5712.31,24352.48,1.86,40
2022-11,FINCORP-CZ,1465332.05,247208.28,1218123.77,83.13,926330.5,291793.27,19.91,217686.83,47577.19,170109.64,32320.83,137788.81,9.4,55
2022-12,FINCORP-CZ,1224412.54,572700.01,651712.53,53.23,781975.54,-130263.01,-10.64,-192821.05,0.0,-192821.05,0.0,-192821.05,-15.75,48
2023-01,FINCORP-CZ,1046872.61,175154.93,871717.68,83.27,740640.56,131077.12,12.52,71825.88,0.0,71825.88,13646.92,58178.96,5.56,39
2023-02,FINCORP-CZ,1063490.8,557731.94,505758.86,47.56,544123.77,-38364.91,-3.61,-81894.81,35987.41,-117882.22,0.0,-117882.22,-11.08,45
2023-03,FINCORP-CZ,1251810.61,377418.28,874392.33,69.85,722664.59,151727.74,12.12,93914.57,0.0,93914.57,17843.77,76070.8,6.08,42
2023-04,FINCORP-CZ,1248827.24,407778.0,841049.24,67.35,547746.31,293302.93,23.49,249483.23,65478.89,184004.34,34960.82,149043.51,11.93,55
2023-05,FINCORP-CZ,1361201.33,352442.44,1008758.89,74.11,652226.45,356532.44,26.19,304354.32,59988.85,244365.47,46429.44,197936.03,14.54,53
2023-06,FINCORP-CZ,1332854.77,321100.65,1011754.12,75.91,631512.65,380241.47,28.53,329720.46,37019.37,292701.09,55613.21,237087.88,17.79,40
2023-07,FINCORP-CZ,1170604.32,342862.68,827741.64,70.71,596105.39,231636.25,19.79,183947.82,43559.59,140388.23,26673.76,113714.47,9.71,57
2023-08,FINCORP-CZ,1075549.48,553238.79,522310.69,48.56,579163.52,-56852.83,-5.29,-103185.91,0.0,-103185.91,0.0,-103185.91,-9.59,46
2023-09,FINCORP-CZ,1199856.17,497752.75,702103.42,58.52,561789.68,140313.74,11.69,95370.57,34104.5,61266.07,11640.55,49625.51,4.14,57
2023-10,FINCORP-CZ,1395345.49,226942.85,1168402.64,83.74,749361.88,419040.76,30.03,359091.81,39819.41,319272.4,60661.76,258610.64,18.53,57
2023-11,FINCORP-CZ,1354551.15,235957.14,1118594.01,82.58,709888.04,408705.97,30.17,351914.93,0.0,351914.93,66863.84,285051.09,21.04,40
